year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0353824	84341.5	76600.9	12036.9	5.19522	7.59356	0.0335914	80072.2	72821.5	11318.5	5.13697	7.42199	0.0356506	84980.8	76879	12467.7	5.3435	7.82274	0.0353694	84310.4	76850.1	11720.6	5.19513	7.59366	0.0334135	79648.1	72715.8	10943.6	4.99929	7.21393	0.0334333	79695.2	72495.8	11245.7	4.99937	7.21407	0.0354116	84410.9	76377.5	12368.4	5.19535	7.59374	0.0339293	80877.6	73265.5	11756	5.05177	7.3153	0.0339365	80894.9	73285	11754.1	5.05178	7.31547	0.0320426	0.29434	0	0.0725772	844205	843716	617.232	174	0	173	173	136	4.92618	4.87053	0.034277	0.295962	0	0.0765651	903071	902560	645.053	174	0	174	174	143	5.36072	5.30404	0.0330619	0.2972	0	0.0751029	871058	870302	951.545	174	0	172	172	133	4.94904	4.87859	0.0313853	0.291479	0	0.0705291	826886	826429	577.274	174	0	174	174	137	4.47034	4.39759	0.0315912	0.290556	0	0.0724551	832310	831573	927.496	174	0	173	173	128	4.77178	4.71216	0.0329333	0.290377	0	0.0736743	867670	867191	605.717	174	0	174	174	142	4.74367	4.69765	0.0313098	0.294476	0	0.071457	824897	824343	698.409	174	0	173	173	122	4.70921	4.66326	0.0331931	0.292502	0	0.0749462	874514	874269	312.861	174	0	172	172	136	4.85462	4.80838	0.0327255	0.288497	0	0.0737135	862195	861981	273.569	174	0	173	173	138	4.94104	4.87054	0.0327396	0.294522	0	0.074137	862567	862318	318.23	174	0	173	173	136	4.99406	4.93321	0.0332779	0.294431	0	0.0738601	876748	876233	649.516	174	0	174	174	140	4.98762	4.93891	0.208411	444498	401262	52286.1	7.192	0.310118	0.358537	0.208411	174	0	20	0	164475	417.501	84.7861	115.402	136.826	0.124364	0.114671	11	2.99519	0.27229
1	0	0.0463699	91924.7	84403.8	13786.5	7.65964	11.5092	0.0407829	80848.9	74349.5	12131.7	7.04103	10.4595	0.0470039	93181.5	85264.6	14343.1	7.9246	11.9199	0.0465337	92249.4	84961.5	13487.7	7.69252	11.5651	0.0403958	80081.6	73884.4	11706.8	6.83009	10.1369	0.0402438	79780.3	73376.2	11977.6	6.80274	10.0901	0.0461923	91572.6	83803	14105.4	7.62864	11.4555	0.0416206	82509.6	75608.1	12711.4	6.99093	10.4044	0.0416393	82546.6	75641.1	12717.8	6.99283	10.4071	0.0304231	0.278494	0	0.0690987	666600	770334	503.379	174	0	172	172	134	5.31575	2.77136	0.032403	0.282742	0	0.0729753	709982	817801	616	174	0	172	172	137	5.93623	3.10147	0.032123	0.292263	0	0.0729874	703846	811551	887.843	174	0	172	172	132	5.48575	2.85695	0.0302419	0.286086	0	0.0682681	662629	764153	547.496	174	0	173	173	135	4.99836	2.59907	0.0298118	0.282503	0	0.0689354	653206	752871	762.738	174	0	171	171	122	5.23822	2.7359	0.0312367	0.28197	0	0.0701042	684426	789347	529.767	174	0	173	173	137	5.24671	2.74743	0.0296597	0.286179	0	0.068231	649873	750056	629.224	174	0	171	171	119	5.20242	2.72043	0.031751	0.285747	0	0.0716943	695695	801282	271.527	174	0	172	172	134	5.29765	2.76836	0.0314184	0.286439	0	0.0707934	688408	795902	267.13	174	0	173	173	136	5.42917	2.82785	0.031094	0.286772	0	0.0707275	681301	786288	261.05	174	0	172	172	130	5.43609	2.83569	0.0317838	0.280146	0	0.0708616	696413	804303	552.053	174	0	173	173	136	5.54118	2.89714	0.219809	389886	358631	41713.8	7.33296	0.390782	0.341946	0.219809	174	0	20	0	164510	320.021	88.4511	132.024	128.827	0.130087	0.107162	18	2.99316	0.166286
2	0	0.0520347	118022	109525	15293.7	7.13777	8.8547	0.0437773	99292.7	92255.6	12835	6.22688	7.61345	0.0529005	119985	111026	15967.5	7.40998	9.20457	0.0524232	118903	110646	14992.5	7.19133	8.92851	0.0433005	98211.3	91515.1	12343.4	6.02698	7.36112	0.0429994	97528.3	90633.8	12595.7	5.98087	7.29932	0.0516617	117176	108452	15577.7	7.08161	8.77811	0.0448946	101827	94328.2	13525.5	6.22241	7.62531	0.0449181	101880	94385.6	13521.4	6.22502	7.62954	0.0352884	0.26551	0	0.0626038	884637	965033	800.478	174	726	841	412	126	6.22907	9.96999	0.0384616	0.27893	0	0.0682041	964188	1.05e+06	905.371	174	726	843	451	137	6.88202	10.8764	0.0381742	0.285672	0	0.0685231	956982	1.04308e+06	1265.9	174	726	840	439	129	6.55912	10.4231	0.0362812	0.28372	0	0.0644538	909527	991937	818.03	174	726	846	392	135	5.92326	9.39102	0.0354477	0.274829	0	0.0643525	888633	968063	1193.87	174	726	840	406	120	6.08053	9.62691	0.0369568	0.279339	0	0.065069	926464	1.00994e+06	827.036	174	726	842	429	134	6.12175	9.74097	0.0351733	0.286058	0	0.0633419	881753	961003	1009.22	174	726	838	393	118	6.07774	9.69288	0.0374116	0.28203	0	0.066736	937864	1.02195e+06	424.797	174	726	839	418	132	6.19735	9.78212	0.0372461	0.285643	0	0.0659375	933715	1.0194e+06	420.376	174	726	838	422	134	6.424	10.1793	0.0364113	0.277491	0	0.0649433	912788	995620	397.927	174	726	836	427	125	6.3472	10.0535	0.037251	0.275258	0	0.0657144	933839	1.01925e+06	860.843	174	726	840	445	129	6.50565	10.3646	0.155727	316029	294881	28784.4	4.19085	0.42891	0.404103	0.155727	848	0.0930069	20	172330	164361	389.425	56.7765	133.042	183.426	0.127626	0.107288	20	2.99251	0.149626
3	0	0.044915	51613.5	43291.2	17031.8	4.48169	0.439614	0.037522	43117.9	36257.4	14145.3	3.82252	0.367331	0.0455887	52387.6	43684.2	17708	4.65685	0.456843	0.0453687	52134.9	43965.1	16801.1	4.52894	0.44548	0.0371837	42729.2	36141.9	13662.6	3.7	0.355567	0.0368279	42320.3	35610.2	13852.8	3.6632	0.351051	0.0444788	51112.3	42643.3	17253.5	4.43655	0.433895	0.0384434	44176.8	36930.9	14848.6	3.82579	0.368183	0.0384531	44187.9	36944.7	14845	3.82823	0.368685	0.0370203	0.260281	0	0.0583852	470194	469444	943.628	174	726	840	658	119	4.97581	0.602545	0.0402258	0.276999	0	0.0638399	510908	510459	1028.35	174	726	841	652	134	5.60784	0.661328	0.0404522	0.283146	0	0.0641497	513783	513485	1544.37	174	726	840	695	126	5.36279	0.63876	0.0381607	0.269633	0	0.0600486	484679	484686	953.422	174	726	844	683	130	4.88587	0.580346	0.0370311	0.258222	0	0.0598849	470332	469575	1400.86	174	726	839	625	117	4.97216	0.587236	0.0388725	0.264662	0	0.0608274	493720	493268	1006.85	174	726	841	666	129	4.98235	0.594172	0.0367472	0.270634	0	0.0588866	466725	466135	1138.26	174	726	836	661	115	4.94488	0.591163	0.0391115	0.27577	0	0.0621677	496755	496734	460.946	174	726	838	664	127	5.02988	0.592101	0.039274	0.274903	0	0.0617467	498819	498811	482.014	174	726	838	657	132	5.23603	0.619041	0.0383445	0.267988	0	0.0606948	487013	486744	455.218	174	726	836	647	122	5.11737	0.606755	0.0389403	0.267403	0	0.0610531	494581	494088	1030.15	174	726	838	675	126	5.24145	0.62834	0.0534257	54931	47483.2	13769.7	0.76303	0.368781	0.42418	0.0534257	848	0.105948	20	197169	164363	117.604	35.0748	94.0633	10.2863	0.0883155	0.0750024	20	2.99218	0.149609
4	0	0.0400468	58190.5	48656.6	15430.6	4.63629	1.85228	0.0328124	47678.4	39976.7	12559.3	3.89174	1.52196	0.0405474	58918	48970.4	16007.5	4.79967	1.91972	0.0403647	58652.5	49316.2	15206	4.70994	1.8867	0.0326402	47428.3	39991.6	12193.9	3.78377	1.47848	0.0323553	47014.3	39430.9	12360.9	3.72606	1.45209	0.0397202	57715.9	47984.3	15653.6	4.56576	1.8195	0.033526	48715.3	40602.1	13153.6	3.88607	1.52349	0.0335449	48742.9	40629.6	13153.8	3.88752	1.52438	0.0362302	0.248062	0	0.0554925	581864	580897	1215.54	174	0	838	696	115	5.54299	3.56187	0.0396224	0.265493	0	0.0600806	636343	635729	1290.24	174	5	839	686	129	6.24476	3.924	0.0403996	0.273341	0	0.060906	648825	648289	2005.35	174	12	840	742	120	6.05425	3.86665	0.0378329	0.264667	0	0.0570853	607603	607506	1220.2	174	12	841	741	125	5.47286	3.4891	0.0367769	0.253543	0	0.0566255	590643	589553	1893.7	174	5	839	673	113	5.51866	3.48503	0.0382201	0.260897	0	0.0570714	613821	613263	1186.37	174	5	839	711	118	5.5647	3.53757	0.0366069	0.253783	0	0.0557758	587914	587092	1461.59	174	5	836	708	113	5.50861	3.51178	0.0384957	0.258423	0	0.0584318	618248	618183	574.051	174	5	836	708	123	5.58664	3.51794	0.0390154	0.259996	0	0.0584661	626594	626532	615.866	174	5	838	703	129	5.85276	3.6814	0.0380082	0.253054	0	0.0573734	610417	610067	582.655	174	1	835	681	117	5.72738	3.60955	0.0386995	0.262802	0	0.0580061	621520	620891	1259.37	174	5	837	712	124	5.8345	3.71941	0.110852	144120	123679	25263.8	2.1035	0.325558	0.419908	0.110852	848	0.125785	20	235559	164288	191.432	52.6737	102.898	54.8829	0.119716	0.0787361	20	2.98703	0.149352
5	0	0.0385029	70007.6	61186.7	14260.5	4.19575	4.31727	0.0305706	55584.7	48653.2	11310.6	3.43064	3.4636	0.0388934	70717.6	61550.1	14731.1	4.335	4.46475	0.0390734	71045	62324.2	14166.8	4.25798	4.39269	0.0304814	55422.5	48709.9	11020.5	3.34559	3.37533	0.0300378	54616	47814.7	11109.1	3.29422	3.31455	0.037916	68940.4	60015.4	14359.2	4.13292	4.2428	0.0312329	56789	49489.9	11829	3.4193	3.45999	0.0312424	56806.3	49510.3	11826.1	3.42166	3.46292	0.0366273	0.239033	0	0.0517905	736076	788684	1436.1	174	0	836	765	110	5.5637	9.28173	0.0402581	0.263651	0	0.0563421	809040	864716	1585.98	174	5	838	750	127	6.32298	10.4566	0.0416337	0.270608	0	0.0583298	836686	894900	2511.29	174	12	838	790	118	6.21262	10.3621	0.0385154	0.256392	0	0.0542343	774019	828440	1453.06	174	12	838	789	122	5.57566	9.30691	0.0372462	0.245516	0	0.0529033	748513	800841	2267.65	174	5	838	733	107	5.62744	9.30452	0.0391676	0.252404	0	0.0538748	787125	842430	1509.48	174	5	839	779	117	5.64037	9.42546	0.0374499	0.249874	0	0.0522913	752606	804816	1782.75	174	5	836	763	110	5.64333	9.44627	0.0393182	0.256516	0	0.0551782	790152	846487	741.096	174	5	836	775	120	5.65576	9.33669	0.0397442	0.25101	0	0.0549815	798714	856887	726.958	174	5	838	777	127	5.9669	9.81943	0.0384187	0.239715	0	0.0533194	772076	827780	713.244	174	1	834	736	111	5.83169	9.6515	0.0396041	0.25422	0	0.0549017	795898	852565	1536.58	174	5	837	770	123	5.9491	9.93185	0.135277	220075	193559	33440.5	2.73733	0.307951	0.427983	0.135277	848	0.053674	20	101321	164317	280.14	49.1214	100.561	140.818	0.124831	0.0978165	20	2.9798	0.14899
6	0	0.0297092	32888.9	23341.7	16295.5	2.66513	0.366055	0.023367	25867.9	18475	12695.8	2.14071	0.279261	0.0300292	33243.2	23403.6	16748.3	2.7502	0.375395	0.0293598	32502.2	23233	16003.3	2.71427	0.379214	0.0233061	25800.6	18566.6	12452.2	2.0899	0.274779	0.0235108	26027.1	18592	12669	2.05161	0.265127	0.0299522	33158	23358.4	16557.3	2.61458	0.353134	0.0237575	26300.3	18623	13164	2.13333	0.277341	0.0237675	26311.4	18633.9	13165.3	2.13416	0.277184	0.0370456	0.223192	0	0.0472065	453275	451772	1875.84	174	726	835	803	98	4.48682	0.677207	0.041817	0.252887	0	0.052798	511655	509952	2125.82	174	726	838	781	126	5.10532	0.751145	0.0432368	0.262985	0	0.0542391	529028	526325	3368.46	174	726	837	812	113	5.08588	0.758622	0.0402732	0.245758	0	0.0507678	492767	491104	2074.53	174	726	837	817	112	4.51775	0.684671	0.0386591	0.234001	0	0.0493423	473017	470650	2951.05	174	726	838	773	101	4.54372	0.674967	0.040389	0.247025	0	0.0500857	494183	492495	2106.03	174	726	838	808	112	4.59424	0.686179	0.0386983	0.234963	0	0.048745	473496	471496	2494.95	174	726	835	792	106	4.5781	0.681904	0.0407458	0.248927	0	0.051603	498549	497745	1003.97	174	726	835	796	116	4.6029	0.678525	0.0408164	0.250158	0	0.0508671	499413	498606	1007.74	174	726	837	800	118	4.85514	0.715206	0.039763	0.227954	0	0.0496826	486524	485717	1007.58	174	726	833	773	106	4.69935	0.695834	0.0411271	0.23778	0	0.0512841	503214	501525	2107.01	174	726	835	800	119	4.8385	0.72635	0.021859	21651.3	15926.2	12418.5	0.307244	0.236759	0.442571	0.021859	849	0.0544152	20	102022	164292	107.376	37.031	73.5089	10.5729	0.0790433	0.0750848	20	2.92934	0.146467
7	0	0.0259044	50658.5	43852.1	11190	3.13965	2.71578	0.0195422	38286.6	33141.3	8441.32	2.44568	2.07506	0.026099	51031.1	43967.9	11536.6	3.2348	2.80069	0.0257915	50433.2	43865.4	10891.3	3.12523	2.70473	0.0195609	38327.5	33330.5	8253.58	2.39393	2.02892	0.0195691	38347.1	33188.9	8450.97	2.39473	2.02522	0.0258904	50637.1	43619.6	11442.8	3.13821	2.70821	0.0198478	38875.4	33495.6	8772.58	2.42312	2.06094	0.0198558	38891.9	33519.4	8763.09	2.42349	2.06008	0.0384162	0.218863	0	0.0438918	835577	835774	2051.88	174	0	834	830	94	6.79208	10.9506	0.0436677	0.243077	0	0.0497631	949961	950030	2327.11	174	0	838	812	120	7.93897	12.5938	0.0450527	0.259357	0	0.051517	979968	979202	3596.8	174	0	834	824	106	7.8969	12.6951	0.0423695	0.240797	0	0.0486716	921673	921829	2204.14	174	0	836	828	111	7.06983	11.3483	0.0403111	0.228446	0	0.0466408	876929	876278	3054.19	174	0	837	817	101	7.03812	11.195	0.0420995	0.242034	0	0.0469679	915745	915876	2287.46	174	0	837	825	105	7.09382	11.397	0.0404572	0.227693	0	0.0457149	879959	879806	2626.23	174	0	834	811	101	7.10538	11.4347	0.0424167	0.243728	0	0.0486877	922790	923750	1088.82	174	0	834	817	114	7.11243	11.2832	0.0425425	0.241716	0	0.0480842	925535	926508	1070.5	174	0	836	820	112	7.43944	11.8245	0.0413582	0.214547	0	0.0461789	899676	900662	1107.23	174	0	833	805	103	7.27949	11.6113	0.0429042	0.233686	0	0.0485024	933340	933451	2245.21	174	0	834	819	117	7.51499	12.0267	0.187887	308425	287813	52866.3	3.86863	0.202061	0.461596	0.187887	849	0.068705	20	128376	164268	317.55	62.4785	108.869	149.54	0.128846	0.0969319	20	2.92652	0.146326
8	0	0.0262729	54510.8	47297.3	11813.6	3.0203	2.64977	0.0191117	39652.9	34458.8	8595.18	2.26168	1.92351	0.0264489	54876	47400.5	12171.1	3.11017	2.73219	0.0262983	54563.5	47559	11533.1	3.02208	2.65756	0.019143	39717.7	34674.1	8398.89	2.21608	1.88313	0.0190532	39531.4	34362.6	8563.86	2.20411	1.8629	0.0261143	54181.8	46809.1	12017.6	3.00063	2.61874	0.0194275	40308	34867.7	8943.86	2.24446	1.9149	0.0194398	40333.6	34891	8949.05	2.24522	1.91212	0.0395128	0.213855	0	0.0409499	906106	944128	2073.63	174	0	833	832	88	6.814	11.2265	0.0456672	0.243077	0	0.048361	1.04724e+06	1.09009e+06	2390.57	174	0	837	829	118	8.0194	13.0389	0.0472563	0.259357	0	0.0502327	1.08368e+06	1.12819e+06	3693.35	174	0	833	830	106	7.97437	13.0724	0.0444293	0.237375	0	0.0474332	1.01885e+06	1.06219e+06	2272.07	174	0	836	834	110	7.18583	11.7501	0.0420724	0.226384	0	0.0453313	964802	1.00481e+06	3289.48	174	0	835	830	98	7.10672	11.5537	0.0436752	0.238688	0	0.0452429	1.00156e+06	1.04253e+06	2307.22	174	0	833	829	101	7.151	11.7597	0.0424319	0.227285	0	0.0442829	973045	1.01235e+06	2757.14	174	0	833	825	99	7.18814	11.8204	0.044186	0.240024	0	0.0471696	1.01327e+06	1.05718e+06	1121.5	174	0	833	827	110	7.16386	11.6189	0.0445345	0.23165	0	0.0467515	1.02126e+06	1.06563e+06	1085.59	174	0	836	830	109	7.50316	12.1936	0.0431394	0.212764	0	0.0442127	989269	1.03108e+06	1099.45	174	0	833	824	100	7.32421	11.9621	0.0449059	0.229102	0	0.0471743	1.02978e+06	1.0739e+06	2309.55	174	0	834	828	115	7.5806	12.388	0.165949	308067	270853	48973	3.37388	0.20131	0.481811	0.165949	849	0.0266308	20	50354.8	164359	342.46	53.4285	107.727	152.541	0.125329	0.0979573	20	2.91332	0.145666
9	0	0.0231371	36450.2	29532.9	11959.9	3.31168	1.08564	0.0164084	25849.8	21008.9	8461.49	2.40195	0.738369	0.0232535	36633.5	29502.5	12270.4	3.40607	1.1182	0.0232604	36644.4	29873.7	11753.4	3.3329	1.10333	0.0164773	25958.3	21229.3	8306.18	2.35613	0.724397	0.016344	25748.3	20936.8	8417.43	2.33138	0.70763	0.0229122	36095.9	29078	12086.5	3.27184	1.05892	0.0166628	26250.5	21194.1	8789.68	2.38392	0.736077	0.0166714	26264.1	21212.2	8784.38	2.38435	0.732498	0.0397006	0.206169	0	0.0378092	691279	715639	2085.77	174	675	828	827	82	8.03828	4.06404	0.0464989	0.239001	0	0.0452041	809653	838178	2492.76	174	675	835	831	112	9.57413	4.734	0.0494795	0.255039	0	0.0473493	861553	891354	3970.72	174	675	833	832	104	9.5512	4.78064	0.046444	0.230874	0	0.044463	808697	837661	2510.71	174	675	836	834	107	8.61571	4.31883	0.0430903	0.220612	0	0.0424337	750301	776830	3452.43	174	675	835	835	93	8.48142	4.20673	0.0444761	0.236336	0	0.0421455	774432	801436	2441	174	675	831	829	95	8.48204	4.26818	0.0435041	0.220468	0	0.0415552	757506	783463	2895.33	174	675	832	829	94	8.59911	4.29904	0.0450269	0.228899	0	0.0440873	784023	813378	1136.58	174	675	830	828	105	8.54096	4.22239	0.0455575	0.227647	0	0.0438157	793261	823342	1161.65	174	675	835	830	98	8.98271	4.46337	0.0437054	0.202761	0	0.0409319	761012	788846	1094.95	174	675	831	830	94	8.7294	4.34019	0.0459982	0.225512	0	0.0440348	800934	830422	2451.47	174	675	832	830	107	9.07511	4.52801	0.158116	222876	187303	47774.1	3.5611	0.175127	0.493482	0.158116	849	0.0547915	20	100975	164297	221.149	52.479	125.411	56.2305	0.121928	0.0766004	20	2.87364	0.143682
