year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0383342	141521	141572	4734.39	5.93224	8.31171	0.0360543	133104	133196	4403.9	5.82289	8.07082	0.0386863	142820	142750	4923.83	6.10791	8.57051	0.0383225	141477	141642	4597.9	5.93215	8.31193	0.035791	132132	132332	4242.86	5.66215	7.8388	0.0358292	132273	132368	4373.61	5.66239	7.83923	0.0383769	141678	141614	4877.44	5.93247	8.31258	0.0364747	134656	134630	4597.33	5.73423	7.96508	0.0364572	134591	134570	4590.08	5.73414	7.96453	0.0336118	0.289401	0	0.0732552	1.37148e+06	1.37129e+06	247.865	185	0	184	184	143	5.13544	8.76893	0.0355662	0.299994	0	0.0779851	1.45123e+06	1.45103e+06	263.003	185	0	184	184	142	5.57499	9.51131	0.0364961	0.298767	0	0.0793228	1.48917e+06	1.48884e+06	433.561	185	0	184	184	152	5.52257	9.41343	0.035951	0.298343	0	0.0782322	1.46693e+06	1.46671e+06	290.615	185	0	184	184	146	5.20617	8.86037	0.0352876	0.297304	0	0.0769551	1.43986e+06	1.43953e+06	434.266	185	0	184	184	142	5.36677	9.15335	0.034674	0.297399	0	0.0761474	1.41482e+06	1.4146e+06	289.715	185	0	183	183	145	5.04592	8.59701	0.0351345	0.29984	0	0.0769181	1.43362e+06	1.43336e+06	335.734	185	0	183	183	142	5.33527	9.09481	0.035681	0.298934	0	0.0771759	1.45592e+06	1.45581e+06	141.862	185	0	184	184	149	5.19329	8.85871	0.0347003	0.294406	0	0.0756393	1.4159e+06	1.4158e+06	135.714	185	0	183	183	143	5.27459	9.00298	0.0362526	0.297371	0	0.0788344	1.47924e+06	1.47913e+06	145.319	185	0	183	183	150	5.51693	9.42848	0.0365308	0.296929	0	0.0794689	1.49059e+06	1.49035e+06	308.025	185	0	184	184	147	5.53656	9.43911	0.246195	813220	795981	21387.9	9.61106	0.334326	0.389886	0.246195	185	0	50	0	65755	735.246	85.5471	120.845	173.319	0.131734	0.124666	20	2.99507	0.149754
1	0	0.0486878	113245	112215	5788.03	6.88891	12.4594	0.0434305	101017	100147	5159.4	6.35457	11.3956	0.0494347	114983	113819	6046	7.15063	12.9451	0.0486877	113245	112320	5626.41	6.89479	12.4729	0.0428971	99776.5	99016.7	4948.75	6.14096	11.0044	0.0429462	99890.8	99037.8	5097.4	6.14031	11.0005	0.0487156	113310	112172	5954.18	6.88941	12.4586	0.0443668	103195	102198	5422	6.3282	11.3695	0.0443318	103114	102121	5413.05	6.32492	11.3633	0.0318105	0.275409	0	0.0695584	817780	827468	192.21	185	0	183	183	138	4.3055	4.91983	0.0346653	0.297666	0	0.0764833	891171	901742	207.917	185	0	181	181	138	4.75937	5.42599	0.0356756	0.298672	0	0.0780037	917143	927780	308.94	185	0	182	182	149	4.6927	5.33153	0.0352187	0.295097	0	0.0768654	905399	915960	218.801	185	0	183	183	143	4.42966	5.02459	0.0344273	0.290313	0	0.0753313	885054	895818	288.494	185	0	183	183	139	4.54232	5.16383	0.0335057	0.293592	0	0.0742903	861360	871409	198.285	185	0	180	180	142	4.26572	4.8477	0.0342934	0.296218	0	0.0752516	881610	892030	233.98	185	0	182	182	140	4.51474	5.13406	0.0346997	0.293872	0	0.075273	892055	902435	103.281	185	0	183	183	147	4.40713	5.01063	0.0333919	0.29261	0	0.0735779	858434	868902	97.9702	185	0	180	180	140	4.45769	5.07899	0.0351943	0.293812	0	0.0765439	904771	915678	97.9472	185	0	183	183	148	4.65183	5.29838	0.0359039	0.293515	0	0.0780688	923013	934149	202.464	185	0	184	184	145	4.6984	5.33492	0.19105	397597	388065	14153.7	6.1927	0.413498	0.378786	0.19105	185	0	50	0	65759.2	403.47	63.3181	115.031	163.038	0.130323	0.109661	20	2.98548	0.149274
2	0	0.0577776	94463.7	92218.1	6652.5	8.18118	8.12943	0.0494422	80835.7	78963.1	5695.27	7.21649	7.10572	0.0589541	96387.3	93966.3	6979.18	8.53312	8.48712	0.0578624	94602.4	92475.1	6470.34	8.19381	8.14663	0.0486612	79558.8	77818.6	5449.98	6.94577	6.83406	0.0486686	79570.9	77734.4	5604.75	6.94299	6.82748	0.0577467	94413.3	92050.1	6836.24	8.17531	8.12131	0.0508461	83131	81089.9	6024.9	7.24417	7.14706	0.0508153	83080.8	81042	6019.77	7.23894	7.14214	0.0305246	0.273482	0	0.0659675	551596	556808	190.228	185	715	337	182	133	4.61518	2.1003	0.0335977	0.289236	0	0.0730908	607129	612846	227.204	185	715	351	180	138	5.24415	2.40638	0.0345851	0.289504	0	0.0747094	624972	630740	344.939	185	715	359	180	144	5.18852	2.37461	0.0341876	0.289338	0	0.0738046	617789	623445	221.138	185	715	359	181	140	4.91155	2.24452	0.0329798	0.282234	0	0.0712627	595963	601688	330.921	185	715	369	181	135	5.01901	2.32254	0.0322252	0.285253	0	0.0706193	582327	587718	211.7	185	715	332	179	136	4.66013	2.11382	0.0328854	0.291702	0	0.0711	594256	599833	246.838	185	715	351	181	133	4.98388	2.28389	0.0337051	0.292231	0	0.0719935	609069	614791	112.53	185	715	356	183	142	4.84453	2.20402	0.0320664	0.287361	0	0.0697019	579457	585117	96.5456	185	715	348	179	138	4.85406	2.22548	0.0338867	0.290606	0	0.0727986	612351	618209	100.772	185	715	359	182	145	5.11383	2.35338	0.0350409	0.288594	0	0.0748926	633209	639261	225.951	185	715	366	184	145	5.22829	2.40384	0.109758	160560	155587	7766.45	2.68366	0.480774	0.365685	0.109758	484	0.178088	50	329517	65808.1	235.616	59.6761	126.019	92.9758	0.118873	0.0789656	20	2.96926	0.148463
3	0	0.0612531	89826.4	87025.3	6948.1	8.00781	4.67629	0.0512873	75211.7	72894	5820.37	6.87279	3.9441	0.0626139	91821.9	88820.7	7305.48	8.37433	4.90036	0.0614599	90129.6	87442.5	6780.53	8.03422	4.69404	0.0504067	73920.3	71750	5559.32	6.6031	3.78313	0.0503558	73845.7	71570.9	5718.52	6.59203	3.77437	0.0611262	89640.3	86710.6	7139.28	7.99058	4.66483	0.052894	77567.9	75058.3	6177.13	6.92374	3.98687	0.0528596	77517.5	75012.1	6169.51	6.91969	3.98481	0.0295987	0.27039	0	0.0631107	479749	483602	236.987	185	715	344	182	128	3.96331	1.56163	0.0325719	0.283493	0	0.0698726	527940	532140	273.902	185	715	358	181	137	4.54829	1.81825	0.032925	0.280775	0	0.0710072	533663	537781	405.412	185	715	363	176	137	4.49135	1.79812	0.0329079	0.281623	0	0.0704354	533386	537602	275.569	185	715	362	180	136	4.25726	1.691	0.0320427	0.278029	0	0.0681406	519363	523627	396.632	185	715	372	182	133	4.30931	1.74129	0.0310005	0.276648	0	0.0672018	502470	506497	238.168	185	715	340	180	132	4.00796	1.58302	0.0318654	0.27957	0	0.0678351	516489	520520	308.366	185	715	354	182	130	4.2754	1.70993	0.0325616	0.274135	0	0.0684779	527773	532054	126.084	185	715	363	185	139	4.20784	1.66383	0.0307608	0.281995	0	0.0664051	498585	502759	122.485	185	715	351	180	133	4.17054	1.66714	0.032541	0.280295	0	0.0690619	527439	531804	121.068	185	715	363	181	142	4.40402	1.76828	0.0337303	0.282565	0	0.0715264	546716	551154	263.123	185	715	371	184	139	4.56022	1.82645	0.0835905	109680	105915	5374.36	1.76128	0.504257	0.352506	0.0835905	490	0.146639	50	273873	65760.4	194.691	48.1357	115.275	57.2377	0.120271	0.0791536	20	2.95952	0.147976
4	0	0.0681577	129227	126301	7070	8.24773	10.9302	0.0552661	104784	102433	5747.32	6.89049	8.98964	0.0698462	132428	129281	7450.31	8.64454	11.4762	0.0684781	129834	127038	6898.57	8.29156	10.9939	0.0542335	102827	100633	5481.25	6.60851	8.60896	0.0541005	102574	100277	5624.96	6.58814	8.57745	0.0679123	128762	125699	7254.29	8.21532	10.8843	0.0572554	108556	105995	6125.02	6.96584	9.1154	0.0572336	108515	105951	6126.77	6.96188	9.11107	0.0287021	0.266807	0	0.0599421	601474	605216	265.472	185	715	345	190	124	3.83109	3.99583	0.032499	0.275497	0	0.0680875	681042	685217	331.556	185	715	359	199	135	4.40667	4.68424	0.0326692	0.280755	0	0.0692561	684608	688684	445.095	185	715	361	198	134	4.28158	4.57102	0.0326869	0.279795	0	0.0689165	684979	689111	310.622	185	715	362	191	134	4.09737	4.32233	0.0317384	0.268165	0	0.0659296	665102	669233	443.958	185	715	371	197	130	4.18535	4.52651	0.0304126	0.273349	0	0.0650162	637319	641233	265.801	185	715	339	198	128	3.85491	4.04275	0.0317913	0.279158	0	0.0661852	666210	670253	356.32	185	715	353	205	128	4.14534	4.41438	0.0321499	0.266841	0	0.0663303	673725	677898	146.982	185	715	362	194	137	4.05777	4.27861	0.0306899	0.270127	0	0.0647641	643129	647249	133.934	185	715	352	195	132	4.00039	4.25021	0.0318263	0.275113	0	0.0662433	666945	671246	135.758	185	715	361	204	135	4.23319	4.52577	0.0330823	0.277453	0	0.0695111	693264	697626	309.482	185	715	368	196	132	4.39012	4.68681	0.084472	143300	139653	4872.39	1.93187	0.552483	0.348248	0.084472	491	0.110769	50	208507	65795.9	299.027	36.4883	114.83	136.986	0.120347	0.0945935	20	2.94257	0.147129
5	0	0.0624768	82217	79364.1	7313.99	9.20599	1.62484	0.0501888	66046.6	63777.6	5869.91	7.52902	1.31602	0.0640437	84279.1	81224.4	7709.45	9.66305	1.70726	0.0628399	82694.9	79949.2	7149.21	9.264	1.63598	0.0492543	64816.8	62690.7	5595.55	7.21527	1.2602	0.0490909	64601.8	62388	5735.42	7.18569	1.2542	0.0621697	81813	78849.5	7486.02	9.15921	1.61617	0.0520329	68473.3	66017.4	6252.91	7.63365	1.33686	0.0520181	68453.8	65996.9	6252.99	7.63045	1.33629	0.0275769	0.263482	0	0.0571764	401101	403811	208.869	185	715	344	203	120	4.01614	0.72553	0.0312725	0.264462	0	0.0650759	454854	457839	283.383	185	715	358	221	130	4.7475	0.869661	0.031432	0.278366	0	0.0660481	457174	460030	412.606	185	715	360	226	129	4.5888	0.843385	0.0317166	0.275494	0	0.0660794	461312	464293	276.064	185	715	362	218	133	4.39467	0.797872	0.0304588	0.253634	0	0.0628535	443018	445970	395.618	185	715	370	218	122	4.47911	0.829753	0.0290976	0.258773	0	0.0617545	423220	425985	250.64	185	715	338	209	120	4.08381	0.740673	0.0301774	0.273074	0	0.0626908	438925	441787	313.749	185	715	350	222	122	4.46181	0.818496	0.0306981	0.261468	0	0.0630932	446499	449459	133.06	185	715	360	214	135	4.32953	0.783125	0.0291348	0.26005	0	0.0615179	423761	426714	124.944	185	715	349	209	125	4.30344	0.786123	0.0304793	0.25639	0	0.0629807	443317	446424	128.931	185	715	360	228	131	4.47447	0.825582	0.0315941	0.271937	0	0.0664043	459531	462618	256.917	185	715	365	218	127	4.64603	0.853766	0.0571614	67304.1	64850.4	3665.05	1.22974	0.504115	0.333638	0.0571614	491	0.0985759	50	186027	65815.3	158.128	34.8177	124.241	21.9618	0.108833	0.0751032	20	2.95125	0.147562
6	0	0.0566264	64716.7	61389.6	7534.79	6.19169	0.829777	0.0450762	51516.3	48901.7	5969.58	5.03012	0.66566	0.0580199	66309.3	62761.9	7937.11	6.49639	0.871664	0.0570464	65196.7	61977.1	7380.54	6.23945	0.836881	0.0442615	50585.2	48117.7	5704.43	4.82415	0.637802	0.0440472	50340.2	47787	5833.58	4.79902	0.633949	0.0562486	64284.9	60853.3	7686.97	6.15017	0.8238	0.046714	53388.1	50567.1	6361.46	5.09943	0.676499	0.046727	53402.9	50576.3	6369.17	5.09762	0.676261	0.0264313	0.258705	0	0.0544922	333873	333700	223.204	185	715	343	216	117	3.27755	0.260707	0.0300548	0.252067	0	0.0621637	379644	379442	277.3	185	715	356	238	124	3.87634	0.316179	0.0305526	0.272913	0	0.0634387	385932	385677	371.015	185	715	360	255	126	3.75082	0.310698	0.0305296	0.263	0	0.0631232	385642	385460	277.688	185	715	362	248	129	3.62331	0.292916	0.0293236	0.245617	0	0.0597594	370409	370117	376.427	185	715	370	248	118	3.64157	0.306292	0.0277799	0.252903	0	0.0587108	350909	350726	247.044	185	715	337	229	115	3.32013	0.264987	0.0288989	0.256143	0	0.0595168	365043	364839	281.682	185	715	349	244	119	3.59865	0.294698	0.0296274	0.257142	0	0.0603139	374246	374154	132.907	185	715	360	239	130	3.50408	0.282152	0.0276166	0.245647	0	0.0584037	348845	348766	112.619	185	715	346	225	119	3.47035	0.281521	0.0290863	0.243858	0	0.0598177	367411	367315	126.405	185	715	360	251	126	3.63768	0.300176	0.0302187	0.268588	0	0.0635349	381715	381521	252.944	185	715	361	240	125	3.76988	0.31049	0.0311082	31810.3	30246.9	2345.57	0.353524	0.454767	0.32012	0.0311082	491	0.133347	50	251746	65802.4	116.082	33.5747	89.7519	9.87311	0.0880277	0.0750037	20	2.9606	0.14803
7	0	0.0604392	85262.1	81847.4	7201.15	7.20175	4.66349	0.0468188	66047.7	63429.6	5578.98	5.72694	3.66948	0.0620099	87477.8	83819.9	7601.89	7.55947	4.8998	0.0609233	85945	82643.9	7059.54	7.27484	4.7144	0.04594	64807.9	62350.6	5317.84	5.49138	3.51612	0.0456504	64399.3	61854.9	5430.91	5.45043	3.48728	0.0599522	84575	81044.9	7344.65	7.1355	4.61799	0.0486567	68640.4	65798.5	5963.39	5.8129	3.73171	0.0486839	68678.8	65841.3	5957.7	5.81399	3.73277	0.0254694	0.245765	0	0.0520304	397120	396956	205.85	185	0	342	242	111	3.451	1.63368	0.028834	0.244439	0	0.0590909	449580	449401	243.897	185	5	354	292	119	4.09733	1.99249	0.0295571	0.270922	0	0.0607365	460856	460581	389.906	185	7	358	303	121	4.02016	1.99182	0.0294381	0.258924	0	0.0602845	459000	458846	231.784	185	7	360	288	124	3.83707	1.85104	0.028417	0.235256	0	0.0568553	443079	442776	386.307	185	5	370	304	114	3.86943	1.92867	0.0266667	0.240451	0	0.0556107	415788	415624	217.73	185	5	336	262	113	3.48022	1.65698	0.0279889	0.238167	0	0.0565568	436404	436189	290.785	185	5	349	295	115	3.79555	1.852	0.028692	0.247931	0	0.0576769	447366	447285	115.709	185	5	359	269	126	3.72119	1.77205	0.0266385	0.238648	0	0.0557462	415348	415261	116.86	185	5	344	262	114	3.61809	1.74932	0.0281069	0.232763	0	0.0569698	438244	438149	119.334	185	1	359	287	118	3.82249	1.88122	0.0294931	0.260128	0	0.0610518	459857	459658	254.177	185	5	361	294	121	3.97177	1.94484	0.0905641	114311	109778	5743.04	1.88709	0.479074	0.309302	0.0905641	491	0.0913138	50	172701	65771.4	181.144	38.6847	101.039	57.2871	0.110879	0.0790366	20	2.94638	0.147319
8	0	0.066872	125780	122574	7225.42	9.69189	11.6776	0.0502065	94433.6	92043.7	5438.32	7.50692	8.9129	0.0687166	129249	125805	7630.35	10.1893	12.2977	0.0675087	126977	123890	7084.53	9.79237	11.8125	0.0491949	92530.8	90300.1	5174.54	7.19139	8.52722	0.0487888	91767	89451.3	5279.15	7.13025	8.44815	0.0661791	124476	121159	7355.14	9.59226	11.5497	0.0523966	98553	95937	5840.3	7.64211	9.09906	0.052416	98589.4	95980.5	5830.92	7.64722	9.10614	0.0246437	0.235765	0	0.0492792	512317	514847	264.794	185	0	341	303	105	4.10922	4.00063	0.0276506	0.238153	0	0.0558503	574826	577573	285.569	185	5	350	331	115	4.87408	4.93435	0.0296354	0.263764	0	0.059183	616088	618829	490.477	185	7	358	339	120	4.83573	4.9717	0.0291894	0.248765	0	0.0586085	606816	609637	309.833	185	7	358	333	120	4.58952	4.57672	0.0280549	0.233972	0	0.0544937	583231	586005	434.839	185	5	370	350	109	4.66104	4.82942	0.0259748	0.239378	0	0.0529128	539988	542502	275.223	185	5	335	306	109	4.14092	4.08308	0.0273524	0.235523	0	0.0539113	568626	571303	355.669	185	5	347	333	109	4.56311	4.63857	0.0278327	0.244769	0	0.0549045	578613	581428	133.4	185	5	357	326	117	4.46009	4.38611	0.0259954	0.233048	0	0.0531844	540416	543202	125.824	185	5	342	310	110	4.32204	4.32211	0.027409	0.228873	0	0.0541306	569804	572689	141.434	185	1	358	340	114	4.5831	4.68232	0.0288345	0.248694	0	0.05835	599438	602325	292.945	185	5	359	340	116	4.80442	4.8728	0.0955685	160833	156473	5763.4	2.56952	0.522279	0.302573	0.0955685	491	0.0671817	50	127274	65732.1	295.361	40.8878	128.897	141.729	0.125786	0.0910761	20	2.92609	0.146304
9	0	0.0738652	140672	137333	7477.24	10.0155	12.5763	0.0539516	102747	100317	5490.51	7.54076	9.363	0.0760735	144877	141289	7916.38	10.5486	13.2627	0.0747045	142270	139045	7336.05	10.1289	12.7298	0.0527749	100507	98230.3	5223.25	7.21174	8.94407	0.0522885	99580.3	97220.1	5331.84	7.14036	8.85025	0.0729757	138978	135540	7594.69	9.89561	12.4196	0.0565223	107643	104983	5913.15	7.70864	9.59362	0.0565783	107750	105088	5917.41	7.71217	9.5979	0.0241413	0.229683	0	0.0467737	508152	509955	268.097	185	715	340	330	97	3.82159	4.51089	0.0276782	0.230464	0	0.0540556	582601	584555	332.624	185	715	349	346	112	4.51047	5.52459	0.0302476	0.260495	0	0.0582467	636684	638631	565.482	185	715	358	354	118	4.66095	5.74908	0.0295348	0.244923	0	0.0575106	621680	623749	342.78	185	715	357	348	118	4.36977	5.22416	0.0279819	0.229417	0	0.0525659	588993	590918	478.002	185	715	367	363	107	4.43062	5.5404	0.0256378	0.238163	0	0.0507943	539651	541495	249.578	185	715	333	322	101	3.8775	4.62053	0.0273276	0.235161	0	0.0519648	575220	577103	386.894	185	715	346	345	105	4.29773	5.28864	0.0275618	0.23859	0	0.0528737	580150	582189	164.3	185	715	355	347	110	4.15939	4.94568	0.0259641	0.226465	0	0.0515033	546520	548567	137.459	185	715	341	328	107	4.05697	4.89025	0.0270342	0.21745	0	0.0514064	569045	571150	150.923	185	715	357	351	110	4.30414	5.32074	0.0289072	0.242389	0	0.0566219	608470	610532	360.667	185	715	358	351	113	4.52039	5.5271	0.0709101	120829	117918	4076.91	1.71137	0.569735	0.302017	0.0709101	491	0.0857807	50	161750	65714.2	301.078	31.2091	126.623	154.48	0.126626	0.0919753	20	2.90819	0.145409
