year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0268798	29652.2	28765.8	2211.36	2.62382	0.777444	0.0265345	29271.3	28409	2168.09	2.67416	0.793562	0.0269405	29719.2	28811.8	2239.21	2.69644	0.798779	0.0268691	29640.5	30614.7	0	2.6238	0.777444	0.0264945	29227.2	30188.1	0	2.60271	0.772499	0.0264767	29207.5	28348.3	2162.04	2.60268	0.772499	0.026885	29658	28753.8	2233.02	2.62381	0.777444	0.0265989	29342.4	28458.6	2196.73	2.60908	0.773995	0.0266121	29357	28282.6	2418.53	2.60909	0.773995	0.0343578	0.282817	0	0.0745842	418912	413263	7044.43	185	0	184	184	140	3.73132	0.274122	0.0346677	0.29734	0	0.0746425	422690	416944	7166.16	185	0	185	185	150	3.94955	0.291033	0.0356477	0.296762	0	0.0771732	434639	426931	9603.67	185	0	185	185	149	3.69979	0.272016	0.0359557	0.297661	0	0.0787174	438394	432516	7331.07	185	0	182	182	139	3.56339	0.262424	0.0328939	0.28954	0	0.0724877	401063	393857	8976.39	185	0	183	183	138	3.60736	0.26562	0.0343173	0.289118	0	0.0742299	418418	412429	7467.54	185	0	185	185	149	3.48476	0.2557	0.0350087	0.294989	0	0.0756171	426848	419024	9745.05	185	0	184	184	151	3.7857	0.27874	0.0364616	0.288442	0	0.0782935	444562	440229	5410.78	185	0	183	183	153	3.76442	0.277205	0.0346799	0.286199	0	0.0754669	422839	418608	5283.45	185	0	183	183	145	3.78689	0.278415	0.0336739	0.285868	0	0.0732628	410574	406649	4900.83	185	0	184	184	144	3.6453	0.269075	0.0341638	0.291067	0	0.0748698	416547	410857	7095.69	185	0	183	183	144	3.6997	0.271187	0.162516	160407	149069	13961.7	2.67433	0.240291	0.381828	0.162516	185	0	30	0	109616	106.431	56.8196	67.0627	10.0192	0.0928339	0.0750294	20	2.98684	0.149342
1	0	0.0301533	37968.6	36783.9	3272.22	3.19598	2.62173	0.0287476	36198.5	35111.7	3082.42	3.1585	2.58207	0.0303614	38230.6	36962	3397.17	3.30017	2.70946	0.0323331	40713.3	41987	0	3.46009	2.88554	0.0306391	38580.3	39788.8	0	3.31379	2.75369	0.0285568	35958.3	34882.4	3059.43	3.06116	2.50183	0.0301433	37956	36702.2	3368.26	3.19601	2.62278	0.0290302	36554.4	35381.3	3213.85	3.10024	2.53701	0.028804	36269.5	34926.3	3428.43	3.0738	2.50954	0.0323807	0.272247	0	0.0703763	450652	447649	7070.44	185	0	184	184	136	3.61323	0.847346	0.0327312	0.282049	0	0.0705082	455531	452815	6775.6	185	0	185	185	145	3.83788	0.90236	0.0343159	0.293123	0	0.075009	477585	508646	8981.88	185	0	182	182	146	3.73567	0.875345	0.0348981	0.296017	0	0.0769801	485687	518924	7443.32	185	0	180	180	136	3.57834	0.838213	0.0305272	0.278546	0	0.06777	424856	420665	8262.58	185	0	181	181	129	3.43736	0.808194	0.0323219	0.279827	0	0.0700757	449835	447117	6627.89	185	0	184	184	140	3.40132	0.795864	0.0321477	0.285036	0	0.0705004	447410	442996	8601.86	185	0	180	180	139	3.64894	0.859169	0.0346318	0.27772	0	0.0743723	481982	480887	5157	185	0	183	183	149	3.62549	0.851205	0.0321471	0.272969	0	0.0707866	447401	446095	4847.11	185	0	179	179	139	3.64258	0.855777	0.0319396	0.271491	0	0.0695679	444514	440771	4668.98	185	0	184	184	137	3.54067	0.83229	0.032219	0.282061	0	0.0710934	448402	445562	6493.03	185	0	181	181	135	3.58857	0.838653	0.186495	210112	201147	11871.6	4.35146	0.268769	0.36026	0.186495	185	0	30	0	109623	144.336	63.159	72.8613	33.0281	0.107754	0.0784062	20	2.99212	0.149606
2	0	0.031579	39197.2	38275.4	1519.21	3.72144	1.70779	0.0290574	36067.2	35245.7	1372.88	3.53667	1.61537	0.0319087	39606.4	37916.8	2669.98	3.85776	1.772	0.036343	45110.5	45163.2	0	4.3339	2.04619	0.0330371	41007	41092.1	0	3.96797	1.86757	0.0287421	35675.9	34888.8	1355.39	3.41079	1.55735	0.0315042	39104.3	37468.2	2628.11	3.71403	1.70489	0.0295105	36629.7	35106.5	2432.38	3.49517	1.59844	0.029117	36141.2	35213.2	1529.8	3.44122	1.56747	0.0305045	0.258487	0	0.0661257	418491	414458	5005.66	185	38	218	183	135	4.2582	0.486166	0.0312595	0.278683	0	0.0668588	428849	424829	4990.12	185	38	220	190	140	4.55167	0.516129	0.0372745	0.287782	0	0.0718682	511369	487802	27904.7	185	715	783	213	145	5.17536	1.58542	0.0375864	0.296017	0	0.0736964	515646	495895	23641.6	185	715	772	210	132	4.9771	1.52343	0.0287081	0.259546	0	0.0634173	393846	388925	6096.71	185	38	216	181	122	4.00033	0.455541	0.0303993	0.278013	0	0.0660769	417047	412996	5029.62	185	38	216	184	133	4.01085	0.453898	0.0301737	0.266845	0	0.0658972	413953	408966	6188.07	185	38	214	181	129	4.21244	0.474401	0.0327538	0.267247	0	0.0701254	449348	446238	3869.1	185	38	217	185	146	4.31695	0.492657	0.0304993	0.264675	0	0.0669098	418419	415517	3612.35	185	38	213	180	134	4.24144	0.480157	0.0296249	0.258751	0	0.0650871	406423	404049	2969.43	185	0	182	182	131	4.17354	0.43286	0.0308394	0.273774	0	0.0676294	423085	419297	4705.77	185	38	216	185	130	4.23311	0.474924	0.067567	75038.9	73779.6	2004.57	2.69313	0.280799	0.349623	0.067567	806	0.00209273	30	3890.04	109525	139.978	61.0543	84.3242	22.8126	0.0822415	0.0752191	20	2.99252	0.149626
3	0	0.037458	52388.1	52686.4	1653.81	4.33699	3.92624	0.0329243	46047.4	46348.4	1422.13	3.98077	3.53031	0.0373004	52167.8	51101.1	3578.15	4.41824	3.99949	0.0447756	62622.5	64342.8	0	5.23863	4.87169	0.0386179	54010.4	55503.2	0	4.61599	4.20443	0.0324196	45341.5	45641.7	1397.5	3.82588	3.38527	0.0366115	51204.2	50167.4	3503.24	4.23447	3.82206	0.0330709	46252.5	45374.1	3112.39	3.87652	3.44255	0.0331646	46383.5	46570	1595.96	3.88728	3.45067	0.0288656	0.250364	0	0.0625921	446206	442465	4644.99	185	0	217	184	131	3.94982	1.19183	0.0296255	0.263549	0	0.0633517	457952	454030	4870.51	185	0	219	191	135	4.27254	1.28717	0.0359477	0.285798	0	0.0707659	555681	533704	26143.6	185	3	750	224	142	4.95445	3.0549	0.0367298	0.292142	0	0.0727151	567770	548485	23173.9	185	3	754	220	132	4.78873	3.11066	0.0267618	0.2392	0	0.0594187	413684	409303	5435.6	185	0	214	180	114	3.70542	1.11369	0.0287109	0.267783	0	0.0628837	443814	439931	4820	185	0	214	182	130	3.71296	1.11528	0.0284118	0.253315	0	0.0623575	439190	434645	5642.43	185	0	212	181	127	3.89234	1.16688	0.0309374	0.251471	0	0.0664175	478231	475225	3734.41	185	0	216	186	139	4.0118	1.2195	0.0287629	0.244907	0	0.0632647	444618	441983	3273.51	185	0	212	181	127	3.95732	1.19406	0.0280904	0.252966	0	0.061964	434223	431920	2874.26	185	0	181	181	126	3.82175	1.07274	0.0292357	0.261314	0	0.0644624	451926	448164	4673.83	185	0	214	183	128	3.9918	1.18697	0.190917	238907	235818	3976.92	4.37256	0.326343	0.332079	0.190917	789	0.00296536	30	5513.04	109527	178.199	63.3731	87.8463	51.3464	0.103149	0.0812323	20	2.98564	0.149282
4	0	0.050721	90489.2	91299.7	1555.7	8.3848	7.74117	0.0417633	74508	75208.9	1253.35	7.20859	6.55185	0.0495148	88337.2	86724.5	4827.22	8.36137	7.70141	0.0627968	112033	114410	0	10.4856	9.85309	0.050314	89763	91673.2	0	8.57651	7.93924	0.0408069	72801.8	73490.7	1221.25	6.87566	6.23826	0.0481271	85861.5	84310	4677.09	7.93714	7.29488	0.041342	73756.6	72492.9	3956.18	6.90638	6.26814	0.0425079	75836.5	76442.2	1422.67	7.10971	6.46912	0.02734	0.242877	0	0.0593946	539104	562622	4170.29	185	0	215	190	125	4.86098	2.28654	0.0278449	0.262824	0	0.0598324	549060	572855	4367.58	185	0	216	192	125	5.25914	2.47351	0.0354107	0.284102	0	0.0694934	698247	707920	26292.9	185	3	686	242	141	6.37812	4.92208	0.036798	0.287675	0	0.0714436	725602	737280	25350.8	185	3	728	270	132	6.30159	5.27121	0.0254268	0.234679	0	0.0563502	501378	522724	4801.64	185	0	211	183	110	4.48931	2.0948	0.0273878	0.260621	0	0.0599585	540046	564141	4178.43	185	0	212	188	123	4.55815	2.13267	0.0268329	0.237418	0	0.0590215	529105	551264	5194.25	185	0	210	183	122	4.76517	2.22897	0.0292668	0.249247	0	0.0630408	577098	603224	3333.82	185	0	213	189	137	4.92617	2.33991	0.0273163	0.239397	0	0.0602003	538638	563423	3150.31	185	0	210	183	125	4.85036	2.28533	0.026707	0.247016	0	0.0589217	526622	527852	2648.9	185	0	181	181	120	4.69068	2.07155	0.0280362	0.256468	0	0.0617783	552833	577242	4133.34	185	0	211	185	125	4.91978	2.27705	0.20648	329595	327363	2984.91	7.0616	0.427894	0.318367	0.20648	759	0.00283744	30	5342	109521	271.836	68.2854	134.907	96.4408	0.131559	0.0847711	20	2.95991	0.147995
5	0	0.0530042	78089.2	78976.3	1009.75	9.17699	2.6254	0.0423914	62453.7	63182	788.671	7.54287	2.12144	0.0504984	74397.5	73882.1	3101.68	8.94578	2.55469	0.066679	98235.7	100147	0	11.6517	3.38674	0.0517114	76184.5	77669.9	0	9.06162	2.59165	0.041297	60841.4	61553.2	765.911	7.156	2.00857	0.0488656	71991.9	71502.7	2990.8	8.43592	2.40332	0.0410673	60503	60130.4	2471.7	7.09103	1.9922	0.043333	63841	64525.8	899.388	7.50198	2.11335	0.0274821	0.236465	0	0.055936	447503	460724	6882.2	185	715	678	198	121	5.14909	1.10431	0.027754	0.24098	0	0.0561691	451930	464860	7179.09	185	715	681	196	122	5.53643	1.18523	0.0361488	0.281893	0	0.0676144	588628	594849	20057.9	185	715	755	318	139	6.817	1.91252	0.0377541	0.282362	0	0.0697208	614767	623258	18345.9	185	715	755	361	131	6.78564	2.023	0.0253531	0.223343	0	0.0528338	412836	423791	8075.38	185	715	658	189	105	4.77284	1.01633	0.0276864	0.245509	0	0.0567586	450831	464355	7081.72	185	715	682	198	116	4.87514	1.04784	0.0267433	0.233617	0	0.0554069	435474	446776	8523.56	185	715	680	188	117	5.0454	1.08109	0.0293199	0.244175	0	0.0593288	477429	493140	5533.41	185	715	688	197	131	5.21492	1.12614	0.0273128	0.231235	0	0.056625	444746	459746	5028.09	185	715	676	190	120	5.15692	1.10934	0.0256288	0.236713	0	0.0560878	417325	434736	2208.16	185	77	241	181	116	4.65021	0.732819	0.0278632	0.249384	0	0.0579128	453708	466895	7306.03	185	715	689	186	118	5.27744	1.12581	0.150498	198385	197513	1272.06	4.55572	0.438847	0.319046	0.150498	799	0.00402972	30	7515.78	109521	196.339	46.3441	140.401	35.2618	0.104531	0.0756647	20	2.95374	0.147687
6	0	0.0444685	47281.6	46744.3	1008.14	4.3665	0.577334	0.0353961	37635.3	37223.5	780.291	3.54493	0.460796	0.0417223	44361.6	43125.9	2273.83	4.18688	0.551598	0.0542831	57717.1	57730.3	0	5.58108	0.752414	0.0434736	46223.8	46236.9	0	4.28005	0.568088	0.0356518	37907.2	37492.7	775.776	3.35958	0.435759	0.0417535	44394.8	43157.1	2251.12	3.94067	0.517928	0.0336342	35761.9	34792.4	1796.47	3.28276	0.425404	0.036112	38396.5	37925.9	887.46	3.53185	0.459554	0.0265539	0.226896	0	0.0523427	312057	305694	7726.54	185	715	681	200	114	2.85429	0.287351	0.0269224	0.227802	0	0.0523152	316388	309942	7830.07	185	715	688	198	114	3.04157	0.30527	0.0364561	0.281893	0	0.0664576	428426	413252	18192.6	185	715	758	360	139	3.78415	0.466622	0.0382033	0.280241	0	0.0685721	448959	434849	17016.4	185	715	756	410	131	3.77634	0.496204	0.0245274	0.214512	0	0.0492847	288241	280947	8821.32	185	715	667	192	101	2.62006	0.26037	0.026879	0.238603	0	0.0529211	315877	309642	7575.35	185	715	693	202	109	2.71702	0.274454	0.0260742	0.21883	0	0.0518599	306419	299157	8800.12	185	715	687	192	111	2.76673	0.277025	0.0286261	0.22291	0	0.0552696	336409	331353	6181	185	715	695	202	125	2.88889	0.295093	0.0267766	0.218746	0	0.0530821	314674	309949	5769.63	185	715	685	194	114	2.85318	0.290978	0.0247521	0.233176	0	0.0518377	290883	288076	3454.4	185	713	632	180	106	2.63213	0.214395	0.0273245	0.23351	0	0.0546878	321113	314471	8065.15	185	715	696	195	112	2.89218	0.291457	0.0175519	16697.8	16591.6	301.688	0.185043	0.366495	0.313096	0.0175519	802	0.00645711	30	12069.3	109507	96.7435	32.0376	69.0859	8.20809	0.0782093	0.075	20	2.96797	0.148398
7	0	0.0454687	58937.7	59692	808.973	5.56517	2.08818	0.0351889	45612.8	46212.1	610.795	4.43433	1.63981	0.0420504	54506.8	54350.6	2036.47	5.26287	1.9667	0.0563835	73085.7	74679.1	0	6.94663	2.65005	0.0437311	56685.4	57924	0	5.42252	2.04423	0.0353307	45796.5	46398.4	612.426	4.34395	1.60652	0.0419324	54353.8	54199.9	2026.46	5.11798	1.91225	0.0330251	42808	42715.7	1567.01	4.03581	1.48662	0.0360523	46731.9	47297.3	698.211	4.41846	1.63481	0.0250581	0.211494	0	0.0496408	359000	352759	7614.08	185	0	666	197	107	3.5103	1.12552	0.0255789	0.22639	0	0.0496218	366461	360051	7824.13	185	0	675	199	109	3.75719	1.20413	0.0357693	0.277929	0	0.0655033	512457	497257	18356.6	185	0	746	357	136	4.89389	1.83172	0.0377419	0.278521	0	0.0675923	540717	526552	17175.3	185	0	751	412	131	4.93766	1.99021	0.0231328	0.207761	0	0.0466797	331417	324633	8253.39	185	0	634	190	96	3.2066	0.999211	0.0251403	0.230409	0	0.0498817	360178	353863	7695.79	185	0	676	198	100	3.35733	1.08034	0.0246885	0.2064	0	0.0491085	353705	346070	9292.38	185	0	672	190	105	3.42583	1.08482	0.0273581	0.21863	0	0.0525038	391952	386563	6610.41	185	0	688	205	118	3.60537	1.18997	0.025378	0.206201	0	0.0502857	363583	358736	5942.08	185	0	675	194	106	3.5705	1.17291	0.0234375	0.222294	0	0.0492924	335783	332871	3592.15	185	0	584	179	98	3.19953	0.852436	0.0258154	0.224647	0	0.0518006	369849	363231	8071.47	185	0	680	194	107	3.60529	1.14991	0.120909	140228	139557	852.817	1.51301	0.369163	0.299099	0.120909	796	0.0056797	30	10665.5	109641	153.334	47.88	88.1302	30.7104	0.0993619	0.0757324	20	2.95796	0.147898
8	0	0.0572695	110271	111612	755.086	8.82433	9.51123	0.0422426	81337.3	82344.2	545.74	6.78542	7.15505	0.0522941	100691	100624	2491.72	8.23538	8.85319	0.07207	138769	141126	0	11.1657	12.2016	0.0530581	102162	103905	0	8.37452	8.96207	0.042226	81305.3	82312	545.59	6.61988	6.97146	0.0518274	99792.5	99727.1	2470.05	7.97148	8.55409	0.0393262	75721.8	75713.2	1835.88	6.10894	6.43033	0.0436577	84062	85054.4	629.68	6.80198	7.19175	0.0244851	0.20477	0	0.0470566	521083	530161	7527.75	185	0	657	208	103	4.55678	4.75991	0.0252124	0.211981	0	0.0473968	536559	546031	7490.03	185	0	663	212	104	4.90668	5.11234	0.0359227	0.277929	0	0.0638457	764494	771302	18114	185	0	730	404	132	6.67377	8.00756	0.0386026	0.278521	0	0.0662497	821525	829231	17543.4	185	0	745	479	130	6.8309	8.88753	0.0226218	0.196526	0	0.0446196	481429	489340	7831.79	185	0	607	196	90	4.14618	4.13553	0.0247753	0.217943	0	0.0476476	527258	536783	7788.21	185	0	662	213	97	4.31751	4.52902	0.0240237	0.200297	0	0.0467106	511263	518859	9100.9	185	0	656	199	102	4.4427	4.55776	0.0265064	0.215915	0	0.0493389	564098	575336	6551.52	185	0	684	223	109	4.74072	5.13516	0.0251246	0.200792	0	0.0479688	534693	545373	6195.75	185	0	672	218	102	4.66445	5.03751	0.0223686	0.215912	0	0.0464719	476039	473677	3541.65	185	0	571	179	90	4.10956	3.5714	0.0254296	0.214213	0	0.0496087	541183	550889	7703.63	185	0	671	210	107	4.68213	4.84273	0.152187	262187	261541	849.154	4.08148	0.453972	0.295073	0.152187	792	0.00337426	30	6395.11	109512	306.189	55.7682	129.04	134.407	0.125698	0.0971936	20	2.92984	0.146492
9	0	0.0543956	60978.7	61588.3	899.953	5.62163	0.680416	0.0397535	44564.5	45027.1	639.15	4.2032	0.502108	0.0490829	55023	54766.7	2268.17	5.19287	0.624301	0.0688319	77162.1	78555.5	0	7.15403	0.88277	0.0501495	56218.7	57239.2	0	5.20319	0.635194	0.0396823	44484.7	44946.4	638.495	4.08958	0.488319	0.048568	54445.8	54193.4	2244	5.00748	0.601727	0.0366048	41034.8	40872.8	1654.32	3.75866	0.446113	0.0411306	46108.3	46544	737.06	4.23706	0.506218	0.0238647	0.194271	0	0.0444528	295689	289250	7910.51	185	715	662	236	96	2.90416	0.345046	0.0243869	0.200955	0	0.0444566	302159	295641	8037.08	185	715	666	235	97	3.15568	0.372137	0.0362888	0.277929	0	0.0628464	449626	447303	17722.7	185	715	735	444	131	4.32289	0.571997	0.0386567	0.277504	0	0.0647812	478966	476794	17756.2	185	715	744	521	127	4.45304	0.635285	0.0219948	0.192372	0	0.0423304	272521	265829	8210.96	185	715	617	210	80	2.65435	0.299273	0.0240278	0.205641	0	0.0450327	297710	291338	7849.31	185	715	662	242	91	2.77662	0.329804	0.0234211	0.184977	0	0.0441983	290192	282781	9087.89	185	715	662	217	99	2.83158	0.329438	0.0259866	0.203461	0	0.0467202	321981	316742	6514.75	185	715	684	262	102	2.99559	0.371372	0.0246522	0.197118	0	0.0455132	305447	300729	5856.66	185	715	674	244	98	3.00437	0.368884	0.0212118	0.206085	0	0.0442494	262820	260255	3169.7	185	16	570	179	86	2.502	0.2332	0.0249461	0.202848	0	0.0472823	309088	302544	8050.48	185	715	673	229	104	3.01007	0.354068	0.0313418	31436.4	31311.1	293.607	0.547565	0.428199	0.289437	0.0313418	796	0.00404141	30	7595.88	109541	110.774	30.1765	79.6256	9.57706	0.08565	0.0750001	20	2.92904	0.146452
