year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0406886	80068.5	77291.1	8029.74	5.78366	7.84277	0.0377552	74605.2	71815.1	7344.32	5.62597	7.56352	0.0411031	80837.8	77873.9	8345.85	5.96197	8.09367	0.0406877	80067.1	77488.7	7800.25	5.78355	7.84255	0.0374526	74040.2	71425.4	7071.59	5.46554	7.34067	0.0374541	74043.3	71253.7	7272.81	5.4655	7.34058	0.0406747	80041.2	77078.2	8241.43	5.78339	7.84242	0.0383003	75622.3	72656.5	7674.07	5.54998	7.47408	0.0382942	75610.2	72647.7	7669.68	5.54985	7.4739	0.0362311	0.295158	0	0.0758995	805217	804878	422.93	200	0	198	198	153	5.28647	3.67828	0.0368019	0.281645	0	0.0766845	817904	817577	409.002	200	0	200	200	148	5.5456	3.86655	0.0394268	0.294487	0	0.081237	876241	875693	684.419	200	0	200	200	159	5.62838	3.91515	0.0370692	0.294068	0	0.0773593	823843	823517	407.075	200	0	199	199	152	5.09867	3.54256	0.0365993	0.289621	0	0.075598	813401	812935	582.417	200	0	198	198	156	5.3353	3.71229	0.0369307	0.293019	0	0.0772118	820766	820458	385.971	200	0	200	200	149	5.10049	3.55519	0.0383384	0.293042	0	0.0786663	852052	851639	515.108	200	0	200	200	160	5.53607	3.85157	0.035445	0.295232	0	0.0740606	787747	787583	204.99	200	0	199	199	151	4.93703	3.44616	0.036665	0.292327	0	0.075752	814860	814700	200.008	200	0	199	199	156	5.29763	3.68139	0.0373467	0.286948	0	0.0773095	830010	829849	201.532	200	0	200	200	154	5.39083	3.76323	0.037772	0.296057	0	0.078073	839463	839106	446.233	200	0	199	199	162	5.44507	3.78367	0.249581	418802	419873	35625.4	7.47269	0.352411	0.408626	0.249581	200	0	30	0	109535	326.912	85.1336	125.377	126.277	0.129526	0.118165	20	2.99522	0.149761
1	0	0.0424302	55125.8	49789.1	10475	4.03896	7.06563	0.0383484	49822.7	45101	9381.82	3.74324	6.45693	0.0429075	55746.1	50151.9	10872.7	4.17917	7.3179	0.0425487	55279.8	50115.7	10227.4	4.04992	7.08831	0.0380274	49405.6	44896.5	9053.57	3.62736	6.2512	0.0379525	49308.4	44648.3	9273.82	3.61763	6.22947	0.0423169	54978.7	49477.9	10709.3	4.02692	7.03935	0.0390101	50682.4	45696.6	9801.54	3.71736	6.42605	0.0389964	50664.6	45683.6	9794.9	3.71688	6.42535	0.0346074	0.287766	0	0.0724466	496952	497236	336.776	200	0	198	198	149	4.09516	1.22576	0.0351425	0.280899	0	0.0732893	504636	540778	331.954	200	0	200	200	142	4.33173	1.30401	0.037441	0.287494	0	0.0776829	537643	575000	546.456	200	0	198	198	156	4.45594	1.33792	0.0355761	0.284473	0	0.0741904	510862	546166	346.834	200	0	199	199	149	4.01956	1.20502	0.0346722	0.280011	0	0.0724196	497883	533076	492.945	200	0	195	195	151	4.1359	1.23833	0.0349738	0.285267	0	0.0738079	502215	537065	331.252	200	0	197	197	144	4.00416	1.2013	0.0360707	0.285563	0	0.0744957	517966	554288	449.822	200	0	198	198	151	4.33285	1.30099	0.0336387	0.273828	0	0.0705839	483043	516549	162.831	200	0	198	198	146	3.84326	1.15413	0.0343952	0.288116	0	0.0719181	493905	528532	171.207	200	0	195	195	145	4.14489	1.23929	0.0357844	0.275198	0	0.0741151	513854	550187	170.338	200	0	200	200	154	4.22457	1.2728	0.0363934	0.286377	0	0.075207	522599	559106	364.675	200	0	199	199	160	4.27091	1.2761	0.083923	97556.7	87996.7	16289.8	1.72454	0.362538	0.388695	0.083923	200	0	30	0	109585	154.06	47.8882	82.3244	74.0688	0.100585	0.0812989	20	2.99467	0.149734
2	0	0.0477374	94338.8	89109	9970.35	6.98735	8.2455	0.041089	81200.3	76791.9	8527.34	6.22446	7.21571	0.0483984	95645	90124.2	10388	7.23834	8.55815	0.04806	94976.4	89915.1	9767.67	7.03806	8.30726	0.0406908	80413.2	76228	8210.87	6.03111	6.9802	0.0404592	79955.6	75625.8	8389.26	5.99297	6.9333	0.0474201	93711.7	88317.8	10167.8	6.93803	8.18428	0.0420303	83060.3	78357.7	8966.39	6.20442	7.21585	0.0420119	83024	78326.5	8958.65	6.20296	7.21411	0.0328531	0.282712	0	0.0689643	717586	717830	442.952	200	8	203	196	144	5.18609	3.45929	0.0377404	0.276337	0	0.0691702	824334	866091	541.565	200	700	784	234	142	6.46925	7.10521	0.0405454	0.286992	0	0.0744829	885601	929471	894.494	200	700	771	250	155	6.58506	7.14238	0.038352	0.280257	0	0.0710759	837694	879135	564.86	200	700	784	231	148	5.9941	6.4659	0.0371333	0.270629	0	0.0683969	811073	852065	773.815	200	700	781	225	150	6.10802	6.67437	0.0370713	0.280453	0	0.0694751	809719	849821	543.619	200	700	772	237	140	5.87792	6.37362	0.0383965	0.278611	0	0.0700299	838666	880588	673.645	200	700	782	237	148	6.35492	6.95149	0.0356823	0.271391	0	0.0664328	779380	818138	248.615	200	700	762	223	142	5.64081	6.06814	0.0365348	0.272185	0	0.0678239	798002	838168	256.228	200	700	767	223	144	6.02169	6.50537	0.0379624	0.268348	0	0.0691785	829184	871367	267.091	200	700	785	234	150	6.30188	6.88987	0.0390347	0.281541	0	0.0712304	852604	895145	556.734	200	700	784	241	157	6.38147	6.90055	0.158388	280059	263869	20524.7	4.56405	0.397897	0.411306	0.158388	823	0.0948127	30	175524	109635	318.511	68.1117	130.343	139.391	0.130866	0.100302	20	2.99288	0.149644
3	0	0.0524618	86034.6	80671.7	10533.1	8.24605	3.37994	0.0435486	71417.4	67029.9	8733.72	7.0416	2.82932	0.0533241	87448.8	81788.6	10998.2	8.56926	3.51638	0.0528181	86618.9	81407.8	10332.4	8.32438	3.41733	0.0430692	70631.3	66454.3	8406.19	6.80819	2.7333	0.0427507	70108.9	65811.2	8567.87	6.74916	2.70484	0.0520163	85304	79792.4	10726.7	8.16712	3.34243	0.0447301	73355	68670.3	9218.41	7.05941	2.84341	0.0447163	73332.4	68652.9	9210.04	7.05706	2.84232	0.031054	0.268628	0	0.0656506	562877	587901	430.135	200	8	200	198	139	5.71623	1.55318	0.0387137	0.266812	0	0.0637033	701715	727752	585.338	200	700	784	513	137	8.12448	3.93152	0.0429165	0.276999	0	0.0708225	777893	806067	983.936	200	700	775	543	152	8.35285	3.98101	0.040517	0.278854	0	0.0676534	734400	760907	627.618	200	700	788	480	144	7.56332	3.57908	0.0386039	0.263574	0	0.0638968	699724	725333	910.999	200	700	783	481	140	7.67327	3.70232	0.0387924	0.269191	0	0.0652015	703142	728408	590.097	200	700	776	479	136	7.31738	3.4966	0.0402499	0.273242	0	0.0654982	729559	755953	798.957	200	700	785	530	146	7.94918	3.85083	0.036975	0.262769	0	0.0620504	670198	694738	283.432	200	700	764	451	138	7.00952	3.30506	0.0376595	0.25572	0	0.0630371	682607	707655	270.53	200	700	769	461	139	7.49877	3.55255	0.039505	0.258778	0	0.0643851	716058	742421	309.978	200	700	787	502	145	7.84726	3.79871	0.0405921	0.279442	0	0.0665836	735762	762654	615.724	200	700	786	495	149	8.01395	3.80772	0.137949	202416	190568	16386.5	3.97116	0.429435	0.425579	0.137949	824	0.0603598	30	113518	109520	236.829	55.3188	155.06	66.1456	0.117387	0.0793439	20	2.99074	0.149537
4	0	0.0456208	48303.8	42360	11858.6	3.82312	0.395509	0.0375656	39774.9	34953.4	9694.68	3.2099	0.325247	0.0463228	49047	42813.2	12355.4	3.97396	0.41166	0.0459998	48705.1	42860.7	11683.7	3.85853	0.399733	0.0371912	39378.5	34758.7	9352.51	3.10474	0.314259	0.0368631	39031	34310.9	9501.37	3.07383	0.310597	0.0451515	47806.9	41748	12023.5	3.78051	0.390456	0.0385345	40800.8	35683	10216.6	3.22035	0.32734	0.0385274	40793.2	35687.3	10197	3.21947	0.327161	0.0299815	0.259476	0	0.060503	350862	350554	388.414	200	700	675	196	132	3.19772	0.21296	0.0383024	0.258508	0	0.0598322	448239	447736	631.705	200	700	782	587	132	4.38356	0.504971	0.0427266	0.26763	0	0.0667415	500013	499156	1073.76	200	700	772	615	148	4.64501	0.518443	0.040496	0.271334	0	0.0639258	473910	473384	660.769	200	700	788	591	141	4.20004	0.46759	0.0383553	0.262981	0	0.0601943	448858	448089	963.267	200	700	782	567	137	4.19418	0.478848	0.0384028	0.264555	0	0.0612211	449414	448884	664.803	200	700	774	560	130	4.03285	0.4522	0.0400295	0.255425	0	0.061646	468451	467801	814.661	200	700	784	600	139	4.37075	0.500296	0.0368651	0.258401	0	0.058554	431420	431188	292.745	200	700	764	540	131	3.83641	0.42506	0.0374646	0.246508	0	0.0596655	438434	438174	327.631	200	700	767	548	134	4.08188	0.456173	0.0391526	0.250814	0	0.0606238	458189	457941	312.901	200	700	785	584	141	4.29041	0.489903	0.0406755	0.269673	0	0.0632193	476010	475465	683.634	200	700	785	587	142	4.39599	0.489479	0.0265021	25107	22378.2	5866.92	0.458528	0.371777	0.422452	0.0265021	824	0.102336	30	191476	109565	95.6624	28.2705	77.3523	8.19775	0.082444	0.0750017	20	2.9914	0.14957
5	0	0.041152	58960.6	53009.1	10310.7	4.98663	2.26471	0.0331932	47557.6	42824.4	8267.4	4.13566	1.84025	0.0416961	59740.1	53513.6	10709.1	5.16859	2.34941	0.0413055	59180.5	53396.9	10103.6	5.04927	2.29757	0.0329267	47175.8	42645.5	7979.63	4.01213	1.78441	0.0328398	47051.2	42387.3	8143.53	3.95619	1.7551	0.0409544	58677.4	52572.5	10491.7	4.91031	2.22512	0.0339925	48702.7	43682	8698.9	4.13829	1.84678	0.0340161	48736.6	43721.3	8691.35	4.13841	1.84596	0.0286615	0.25035	0	0.0576669	453874	453457	520.627	200	0	673	195	130	4.21803	1.42901	0.0377864	0.243284	0	0.0565356	598372	597706	832.4	200	0	781	632	130	6.1612	3.4556	0.04241	0.265967	0	0.0635794	671590	670439	1438.05	200	0	772	653	145	6.56065	3.59378	0.0400147	0.258433	0	0.060856	633659	632980	848.436	200	0	787	628	138	5.95559	3.24613	0.0379075	0.24976	0	0.0569695	600291	599308	1227.7	200	0	782	617	135	5.90608	3.27502	0.0376259	0.250802	0	0.0577607	595832	595167	830.812	200	0	772	608	127	5.65748	3.10364	0.0396208	0.244882	0	0.0582175	627422	626580	1052.94	200	0	784	650	135	6.17258	3.4384	0.0362825	0.246082	0	0.0553812	574558	574262	370.403	200	0	764	590	126	5.411	2.91811	0.0367908	0.237078	0	0.0563963	582607	582317	363.02	200	0	766	604	128	5.74812	3.1315	0.0384987	0.241256	0	0.0574906	609652	609326	407.991	200	0	784	628	134	6.0378	3.36726	0.0403266	0.255787	0	0.0602875	638599	637921	846.102	200	0	785	630	137	6.22917	3.3795	0.117064	150069	135888	17458.9	2.05711	0.332076	0.415925	0.117064	824	0.0944184	30	177157	109593	186.498	48.5539	106.61	52.5473	0.103733	0.0772912	20	2.98895	0.149447
6	0	0.044854	103653	98231.8	10018.6	6.79797	5.46785	0.0346828	80148.5	75993.2	7760.34	5.4277	4.28192	0.0454885	105119	99398.4	10448.7	7.05023	5.68077	0.0451712	104386	99130.7	9819.5	6.85135	5.5121	0.0344021	79499.7	75530.3	7498.72	5.26571	4.14848	0.0341919	79013.9	74917.6	7654.26	5.22989	4.11706	0.044447	102712	97143.9	10188.5	6.7369	5.41579	0.0356529	82390.3	77943.3	8200.26	5.44188	4.30809	0.0356928	82482.3	78038.5	8198.9	5.44637	4.31026	0.0277713	0.247709	0	0.0550256	709321	735011	617.592	200	0	673	196	125	5.04855	4.6641	0.0395404	0.242699	0	0.0549737	1.00992e+06	1.03945e+06	922.308	200	0	780	723	129	8.08941	10.5477	0.0441114	0.265967	0	0.0619154	1.12667e+06	1.15922e+06	1577.65	200	0	770	712	142	8.62893	11.0255	0.0413589	0.258091	0	0.0592143	1.05637e+06	1.08705e+06	1017.37	200	0	784	709	134	7.78637	9.94107	0.0397125	0.245437	0	0.0554601	1.01432e+06	1.04387e+06	1387.72	200	0	781	724	133	7.75794	10.0304	0.0392033	0.24734	0	0.0560221	1.00131e+06	1.0296e+06	957.887	200	0	771	697	126	7.36472	9.47727	0.0416875	0.244882	0	0.0565443	1.06476e+06	1.09529e+06	1183.99	200	0	784	735	133	8.14118	10.5721	0.0378406	0.242037	0	0.0540147	966507	995219	443.987	200	0	764	668	125	7.04075	8.90095	0.0383979	0.235414	0	0.0551408	980740	1.00977e+06	440.321	200	0	765	683	128	7.47801	9.52981	0.0399266	0.24008	0	0.0553529	1.01979e+06	1.04969e+06	473.246	200	0	782	724	132	7.86855	10.173	0.0415681	0.255485	0	0.0583569	1.06171e+06	1.09293e+06	988.496	200	0	782	712	135	8.15425	10.3387	0.147903	305811	290299	19875.8	4.17093	0.354583	0.431119	0.147903	824	0.0488605	30	92493.5	109674	399.813	58.2026	141.778	148.443	0.126543	0.100302	20	2.98842	0.149421
7	0	0.0504054	186862	181715	10796.6	7.14549	8.15565	0.0376325	139511	135723	8049.81	5.49351	6.16614	0.0512097	189844	184393	11264.4	7.42454	8.48881	0.0509039	188710	183735	10598.9	7.21471	8.2335	0.0372878	138233	134647	7751.11	5.32103	5.96404	0.0369589	137014	133302	7899.77	5.27384	5.90855	0.0498258	184714	179417	10958.8	7.06162	8.05747	0.0388323	143959	139873	8538.35	5.53387	6.23235	0.0388838	144149	140060	8546.86	5.53986	6.23734	0.0290181	0.247553	0	0.0539957	1.18899e+06	1.22137e+06	570.361	200	656	680	213	122	5.24607	10.5027	0.0429989	0.242699	0	0.0532506	1.76184e+06	1.7972e+06	934.31	200	700	780	775	126	8.77421	20.4764	0.0478239	0.26572	0	0.0600724	1.95955e+06	1.99865e+06	1521.7	200	700	770	757	142	9.32048	21.4749	0.0447409	0.257852	0	0.0574616	1.83322e+06	1.86979e+06	979.621	200	700	784	764	133	8.36358	19.3023	0.0429268	0.245184	0	0.0535855	1.75889e+06	1.79414e+06	1403.44	200	700	779	761	130	8.43521	19.5801	0.0425278	0.247172	0	0.0544454	1.74254e+06	1.77653e+06	901.533	200	700	771	752	126	7.9581	18.4466	0.0450703	0.244882	0	0.0544524	1.84672e+06	1.88306e+06	1199.64	200	700	781	771	132	8.87958	20.7056	0.0404409	0.241964	0	0.0522731	1.65704e+06	1.69107e+06	415.034	200	700	761	738	122	7.60873	17.3923	0.0413239	0.235145	0	0.05342	1.69321e+06	1.7279e+06	439.512	200	700	764	746	127	8.08688	18.5673	0.042965	0.24008	0	0.0533792	1.76046e+06	1.79572e+06	438.83	200	700	779	771	130	8.47409	19.712	0.0444857	0.255485	0	0.0561796	1.82277e+06	1.85972e+06	975.838	200	700	781	766	131	8.74031	20.0694	0.11306	375016	363476	15367.5	2.92641	0.39194	0.464322	0.11306	824	0.059259	30	111091	109552	738.993	43.8626	148.824	269.673	0.130094	0.118033	20	2.98756	0.149378
8	0	0.051944	85282.4	80092.6	11829.8	5.52092	4.16357	0.0379955	62381.4	58591.6	8723.62	4.13123	3.05174	0.0528702	86803	81343.1	12350.9	5.74789	4.34061	0.0522405	85769.2	80741.3	11567.9	5.58198	4.21309	0.0376245	61772.4	58146.2	8411.34	3.99663	2.94895	0.0374199	61436.5	57700.7	8590.43	3.95571	2.91323	0.0515254	84595.1	79264.8	12049.2	5.44996	4.10199	0.0392953	64515.6	60462.2	9254.78	4.17566	3.09501	0.0393511	64607.1	60547.8	9268.21	4.18049	3.09672	0.0284861	0.240367	0	0.0507143	516919	528420	555.852	200	700	680	270	110	3.88781	3.50182	0.0437144	0.232951	0	0.0497103	793257	805606	873.219	200	700	777	773	122	6.70578	8.32393	0.0487985	0.26207	0	0.0567599	885515	899041	1533.43	200	700	767	763	136	7.1062	8.6201	0.0458953	0.248533	0	0.0544579	832833	845912	915.994	200	700	783	775	127	6.37082	7.74686	0.0434627	0.242032	0	0.049638	788690	800719	1342.24	200	700	776	771	124	6.4143	7.91546	0.0433298	0.23698	0	0.0508499	786278	798238	886.076	200	700	770	759	120	6.06834	7.42274	0.0462655	0.227833	0	0.0506872	839551	852212	1181.55	200	700	781	778	130	6.76437	8.39458	0.0409751	0.23347	0	0.0488779	743549	755884	407.642	200	700	759	751	113	5.72157	6.84456	0.0422026	0.227827	0	0.0501612	765823	778275	418.154	200	700	764	758	125	6.12379	7.3876	0.0436899	0.227226	0	0.0495632	792812	805340	447.379	200	700	777	775	122	6.42138	7.95467	0.0454211	0.251813	0	0.0528258	824227	837380	925.288	200	700	780	775	124	6.59122	7.95851	0.0594382	87314.1	82696.6	8056.77	1.16033	0.400267	0.472241	0.0594382	824	0.107538	30	201046	109590	237.282	25.82	112.076	113.995	0.121234	0.0798512	20	2.98617	0.149309
9	0	0.0526392	119448	112658	12035	5.9279	5.78528	0.0377941	85761.8	80938.2	8636.05	4.36224	4.19294	0.0535681	121556	114407	12582.4	6.17405	6.03412	0.0530611	120405	113790	11805.6	5.97781	5.83595	0.0374501	84981.1	80357.1	8336.83	4.2228	4.05409	0.037162	84327.4	79589.5	8487.41	4.18805	4.01612	0.0520516	118115	111182	12213.9	5.86293	5.71534	0.0391374	88809.9	83635.1	9189.67	4.41235	4.25502	0.0391857	88919.6	83739	9200.55	4.41768	4.25792	0.0282167	0.224845	0	0.0479047	707687	720211	639.495	200	700	679	372	106	4.32828	6.89502	0.0453495	0.232951	0	0.047979	1.13739e+06	1.15129e+06	1055.33	200	700	774	772	118	7.64137	14.7561	0.0511125	0.258397	0	0.0555584	1.28193e+06	1.29756e+06	1783.11	200	700	766	765	136	8.12304	15.3996	0.0478941	0.248533	0	0.053234	1.20121e+06	1.21628e+06	1208.15	200	700	781	776	126	7.32293	13.9211	0.0451238	0.242032	0	0.0479481	1.13173e+06	1.14526e+06	1687.04	200	700	773	769	120	7.29114	14.0515	0.0453409	0.236513	0	0.0497587	1.13717e+06	1.15097e+06	1086.46	200	700	769	767	117	6.93618	13.2603	0.0480796	0.227833	0	0.0489596	1.20586e+06	1.22027e+06	1452.37	200	700	777	776	125	7.77325	15.014	0.042622	0.23347	0	0.0476618	1.06898e+06	1.08308e+06	502.877	200	700	757	755	111	6.50843	12.247	0.044232	0.227827	0	0.0492242	1.10936e+06	1.12389e+06	519.083	200	700	764	763	123	7.01061	13.232	0.0459587	0.227023	0	0.048457	1.15266e+06	1.1672e+06	539.266	200	700	777	777	122	7.32995	14.1157	0.0471486	0.251247	0	0.0514365	1.18251e+06	1.19753e+06	1076.67	200	700	777	774	120	7.53997	14.2614	0.0363619	73826.4	69852	5494.84	0.643819	0.402049	0.491078	0.0363619	824	0.188586	30	354124	109532	389.68	28.7721	123.995	191.301	0.123626	0.100875	20	2.98443	0.149222
