year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.0387922	74720.9	71780.4	6013.8	5.72341	8.24296	0.0361722	69674.3	66984.1	5547.38	5.58012	7.96725	0.0391645	75438	72313.9	6251.59	5.89814	8.50441	0.0387872	74711.3	71914.9	5846.25	5.72336	8.2428	0.0359082	69165.9	66635.1	5344.65	5.42236	7.73477	0.0358948	69140.1	66478	5496.1	5.42217	7.73423	0.0387957	74727.8	71641.3	6183.16	5.72344	8.24303	0.0366691	70631.6	67759.7	5791.39	5.50244	7.8697	0.0366774	70647.5	67775.8	5791.82	5.50256	7.8701	0.0315479	0.297058	0	0.0719344	671636	671407	291.835	172	0	171	171	132	4.54834	3.01835	0.0318336	0.292412	0	0.0718441	677719	677494	286.226	172	0	171	171	134	4.77421	3.16158	0.0307593	0.290337	0	0.070515	654847	654497	442.214	172	0	169	169	129	4.41355	2.92941	0.0312336	0.282713	0	0.0712096	664946	664720	286.703	172	0	170	170	133	4.29369	2.84461	0.0320761	0.288745	0	0.0728844	682882	682515	463.082	172	0	172	172	132	4.59378	3.03965	0.0318387	0.287578	0	0.0728307	677828	677582	312.048	172	0	171	171	132	4.38112	2.89724	0.0310677	0.293891	0	0.0715007	661414	661123	369.572	172	0	170	170	124	4.49523	2.98702	0.0324469	0.285515	0	0.0736677	690776	690656	155.759	172	0	170	170	133	4.52426	3.00808	0.029939	0.283058	0	0.0681756	637384	637277	139.492	172	0	171	171	123	4.33711	2.87875	0.0327456	0.294804	0	0.0741164	697135	697025	142.643	172	0	172	172	135	4.70401	3.12772	0.032612	0.286599	0	0.0735943	694291	694045	312.515	172	0	172	172	137	4.67613	3.09867	0.24603	424015	402231	26740.1	8.55434	0.336861	0.3481	0.24603	172	0	40	0	82208.4	306.361	82.494	117.46	122.734	0.131704	0.116657	11	2.99323	0.272112
1	0	0.0485137	123727	121709	6901.19	8.41003	12.906	0.0427689	109075	107357	6056.98	7.70344	11.7035	0.0492608	125632	123429	7207.32	8.72065	13.3983	0.0485992	123945	122073	6713.25	8.42798	12.9352	0.0422924	107860	106293	5817.16	7.45454	11.3146	0.0422046	107636	105947	5973.82	7.43435	11.2815	0.0484352	123526	121367	7084.67	8.39152	12.8757	0.0437356	111541	109639	6377.81	7.67185	11.6773	0.0437578	111597	109700	6374.35	7.67461	11.682	0.0298751	0.296077	0	0.0685757	842119	853974	271.583	172	0	169	169	127	5.10459	5.2149	0.0308923	0.292354	0	0.0701569	870793	882931	282.707	172	0	169	169	130	5.37124	5.46332	0.0304667	0.288165	0	0.0698087	858796	870564	433.416	172	0	169	169	129	5.00163	5.0976	0.0309086	0.279012	0	0.0704292	871253	883549	273.766	172	0	170	170	133	4.86913	4.95831	0.0310434	0.28423	0	0.0709978	875051	886990	412.282	172	0	170	170	130	5.20197	5.29765	0.0310047	0.287016	0	0.0711203	873961	886118	286.518	172	0	170	170	130	4.96071	5.05195	0.0304846	0.293521	0	0.0703679	859300	871266	322.699	172	0	169	169	122	5.05845	5.17902	0.0319229	0.281141	0	0.0724321	899843	912161	133.276	172	0	170	170	133	5.06422	5.17555	0.0293853	0.275311	0	0.0670912	828314	839870	125.105	172	0	170	170	121	4.88081	4.99099	0.0319024	0.286643	0	0.072184	899266	911848	140.602	172	0	172	172	134	5.32775	5.45959	0.0321206	0.285217	0	0.072456	905414	917782	286.436	172	0	172	172	136	5.30924	5.41547	0.233831	533576	518001	20687.6	9.97247	0.409568	0.340007	0.233831	172	0	40	0	82162.5	457.978	70.8041	138.012	167.087	0.132672	0.112548	17	2.97837	0.175198
2	0	0.0610809	153080	150482	8052.05	10.3819	14.3516	0.0510512	127943	125816	6748.11	9.00269	12.258	0.0623868	156352	153534	8449.35	10.8319	14.9988	0.0612553	153517	151074	7842.15	10.4172	14.4042	0.0502631	125968	124014	6447.44	8.67203	11.7901	0.0500978	125554	123474	6618.9	8.63848	11.7392	0.06089	152601	149854	8255.3	10.3472	14.2987	0.0526506	131952	129617	7147.33	9.04981	12.3574	0.0526731	132008	129674	7146.94	9.05448	12.3633	0.028909	0.292441	0	0.0651691	800774	809061	305.783	172	728	344	168	124	5.00901	5.49024	0.0308028	0.289851	0	0.0683332	853234	861872	324.838	172	728	355	169	130	5.40421	5.90154	0.0304992	0.287715	0	0.0686425	844824	853238	460.382	172	728	340	168	128	5.12292	5.57755	0.0309347	0.276562	0	0.0692062	856886	865682	315.742	172	728	351	169	131	4.98761	5.44296	0.0308822	0.281171	0	0.0690531	855433	863994	478.288	172	728	345	170	128	5.21474	5.67127	0.0306948	0.284934	0	0.0690542	850242	858998	327.898	172	728	347	169	126	4.9999	5.44702	0.0301549	0.287254	0	0.0683988	835287	843556	364.669	172	728	345	167	119	5.14098	5.65102	0.0317546	0.275925	0	0.0705156	879598	888469	139.478	172	728	347	170	131	5.15318	5.6238	0.0289669	0.270902	0	0.0649358	802379	810699	139.631	172	728	342	169	120	4.9514	5.40261	0.0308896	0.28137	0	0.0687362	855636	864524	160.173	172	728	368	170	131	5.37278	5.92534	0.0318902	0.281957	0	0.0706599	883353	892173	315.368	172	728	341	171	133	5.40432	5.87202	0.15224	341379	332922	12105.9	5.19273	0.502349	0.336379	0.15224	462	0.0891346	40	164916	82145.7	447.25	66.6074	148.35	180.571	0.139464	0.110958	20	2.9521	0.147605
3	0	0.0708888	206574	203414	9095.01	10.1915	16.2776	0.0571397	166508	164010	7331.2	8.47053	13.3622	0.0726689	211761	208333	9584.99	10.682	17.0821	0.071172	207399	204409	8868.77	10.2353	16.3528	0.056132	163572	161272	6984.77	8.13241	12.8137	0.0558731	162817	160379	7169.06	8.09168	12.7416	0.0705778	205668	202342	9314.37	10.1434	16.1936	0.0592874	172767	170014	7825.99	8.57236	13.5542	0.0593276	172884	170132	7826.11	8.57648	13.5612	0.0280136	0.280031	0	0.0615121	902262	908998	281.207	172	728	352	172	118	4.58794	7.36974	0.0309655	0.289851	0	0.0672681	997336	1.00483e+06	289.359	172	728	356	175	128	5.09774	8.1364	0.0309687	0.287558	0	0.0679827	997438	1.0047e+06	460.231	172	728	345	176	128	4.84856	7.70931	0.0310006	0.276467	0	0.0681086	998467	1.00599e+06	297.984	172	728	356	175	129	4.71505	7.52208	0.0313753	0.278782	0	0.0683761	1.01053e+06	1.01794e+06	451.733	172	728	357	178	127	4.91315	7.82037	0.0308896	0.28473	0	0.0682201	994892	1.00252e+06	277.654	172	728	352	182	124	4.68369	7.47018	0.0306803	0.286879	0	0.0677466	988150	995284	388.934	172	728	350	177	117	4.81301	7.73479	0.032004	0.275925	0	0.0696254	1.03078e+06	1.03837e+06	144.957	172	728	353	176	130	4.84082	7.70767	0.0290234	0.270854	0	0.0638624	934785	941837	127.49	172	728	346	173	119	4.60583	7.33873	0.0314352	0.28137	0	0.0680351	1.01246e+06	1.02008e+06	139.998	172	728	375	177	130	4.93482	7.96396	0.031843	0.281854	0	0.0694075	1.0256e+06	1.03314e+06	287.734	172	728	350	179	130	5.0616	8.02298	0.063497	165557	162159	5123.5	1.50901	0.573067	0.338199	0.063497	475	0.150788	40	280536	82271	546.329	47.6982	137.707	216.731	0.131241	0.113426	20	2.93087	0.146544
4	0	0.0788704	187477	183624	9483.19	13.1982	15.1073	0.061826	146962	143967	7465.19	10.631	12.0309	0.0810981	192773	188626	10027.2	13.8757	15.9005	0.0792982	188494	184796	9258.4	13.2683	15.1916	0.0605994	144047	141246	7111.37	10.1878	11.5173	0.0602843	143298	140381	7281.63	10.1242	11.4373	0.0784367	186447	182443	9699.31	13.1209	15.0134	0.0644245	153139	149866	8003.44	10.816	12.2674	0.0644674	153241	149975	7994.19	10.8236	12.2763	0.027603	0.274495	0	0.0585158	725198	729032	280.566	172	728	352	256	114	4.93036	5.45709	0.0314648	0.28875	0	0.0662006	826658	831036	287.424	172	728	356	257	128	5.67132	6.19384	0.0315696	0.287558	0	0.0672612	829410	833674	428.775	172	728	347	258	128	5.4414	5.89157	0.0312221	0.275941	0	0.0670671	820282	824690	288.56	172	728	354	239	127	5.22562	5.69183	0.0315661	0.275905	0	0.0668947	829318	833537	453.672	172	728	356	259	125	5.51755	6.00004	0.0304776	0.28073	0	0.0661262	800721	805020	291.258	172	728	350	259	120	5.20454	5.68889	0.0309815	0.286703	0	0.0664253	813960	818067	389.826	172	728	349	267	116	5.42586	5.97182	0.0321455	0.275603	0	0.0681831	844540	849006	141.227	172	728	352	252	127	5.3904	5.83564	0.0291927	0.269999	0	0.062602	766963	771131	144.275	172	728	345	217	118	5.10468	5.52547	0.031586	0.273586	0	0.0660316	829842	834378	166.711	172	728	375	251	129	5.56294	6.16434	0.0322385	0.279335	0	0.0683423	846984	851380	301.898	172	728	350	250	130	5.58456	5.98668	0.0394998	84008.9	82218.7	2688.54	1.21984	0.629305	0.340047	0.0394998	477	0.172352	40	323482	82186.7	415.878	41.3376	166.325	185.149	0.137635	0.0966065	20	2.91495	0.145747
5	0	0.0714081	105519	101816	9672.24	11.1639	4.18591	0.0556552	82258.3	79370	7548.93	8.85937	3.28563	0.073391	108446	104479	10226.2	11.7536	4.41194	0.0716266	105841	102289	9424.83	11.2378	4.21625	0.0545615	80643.5	77928.7	7192.9	8.48208	3.14277	0.0553942	81874.3	79003.2	7454.16	8.43089	3.11866	0.0725405	107192	103276	10025.7	11.0956	4.15551	0.0579975	85716.8	82583.8	8086.29	9.0292	3.35583	0.0580479	85791.3	82654.6	8093.51	9.03595	3.35837	0.0262264	0.257525	0	0.0552782	428695	428619	281.491	172	728	348	290	105	4.52816	1.35071	0.0302879	0.288403	0	0.0629687	495092	498294	338.436	172	728	354	300	123	5.35806	1.5605	0.0306799	0.272729	0	0.0644939	501506	504601	506.224	172	728	346	294	121	5.155	1.48733	0.0306012	0.273523	0	0.064667	500222	503467	331.717	172	728	354	293	126	4.89797	1.42248	0.0304254	0.275354	0	0.0635059	497340	500410	496.465	172	728	355	303	120	5.1613	1.50241	0.0294197	0.265152	0	0.0627832	480896	484019	318.599	172	728	349	295	117	4.78883	1.40636	0.0298805	0.270285	0	0.0631924	488420	491438	401.691	172	728	347	310	115	5.0824	1.50609	0.0309765	0.271777	0	0.0649624	506360	509666	157.142	172	728	350	295	123	5.03375	1.45441	0.0280282	0.261307	0	0.0595181	458164	461229	145.71	172	728	343	274	113	4.76723	1.37821	0.0302357	0.273334	0	0.0626076	494231	497569	161.399	172	728	373	310	123	5.18825	1.55608	0.0313342	0.277953	0	0.0655641	512214	515473	322.769	172	728	349	286	129	5.25215	1.49111	0.0114131	15103.4	14602.8	998.045	0.304527	0.570622	0.328095	0.0114131	477	0.212434	40	401628	82184.4	197.809	30.0926	144.606	49.3465	0.0983806	0.0766668	20	2.92846	0.146423
6	0	0.0704543	102709	98117.1	9633.56	9.19164	4.57405	0.0542709	79116.5	75607.7	7415.39	7.23918	3.55695	0.0724097	105559	100651	10186.7	9.66892	4.81842	0.0700717	102151	97748.9	9350.97	9.22949	4.59534	0.0531844	77532.6	74234.4	7054.87	6.93484	3.40378	0.0542362	79065.8	75558.7	7395.48	7.03803	3.45795	0.0718997	104816	99946.1	10086.6	9.33412	4.6514	0.0565746	82474.8	78674.1	7944.85	7.37699	3.63368	0.0566247	82547.9	78737.6	7960.81	7.38374	3.63724	0.0253766	0.248701	0	0.052813	408883	408689	277.028	172	6	348	305	103	3.59365	1.68983	0.0293509	0.278661	0	0.059934	472919	475803	309.871	172	728	353	339	120	4.34361	2.03473	0.0297784	0.263318	0	0.0616204	479807	482620	470.056	172	728	345	326	118	4.21829	1.96064	0.0298057	0.265673	0	0.0618115	480247	483167	323.549	172	728	353	324	119	4.03781	1.88202	0.0295889	0.265249	0	0.0604649	476754	479534	450.601	172	728	354	333	116	4.19765	1.96521	0.0285251	0.260338	0	0.0598504	459614	462360	322.687	172	728	347	320	114	3.89665	1.84107	0.0290131	0.260831	0	0.0601026	467477	470187	361.5	172	728	346	332	113	4.14141	1.96939	0.0299263	0.268702	0	0.0615856	482191	485109	148.74	172	728	349	325	121	4.08329	1.8992	0.027269	0.255337	0	0.0568235	439374	442128	133.757	172	728	342	317	110	3.86391	1.7939	0.029219	0.253835	0	0.0592224	470794	473746	150.664	172	728	372	339	120	4.19128	2.00456	0.0305703	0.274808	0	0.0630225	492567	495527	320.629	172	728	348	316	124	4.29767	1.95569	0.0292003	38087.4	36555.4	1973.29	0.572978	0.559726	0.318423	0.0292003	477	0.19545	40	370344	82271.6	192.584	34.7972	118.835	57.325	0.120951	0.0779119	20	2.92776	0.146388
7	0	0.0740594	140416	135666	9442.19	8.93016	10.7809	0.0558223	105839	102276	7129.74	6.91578	8.24802	0.0761952	144466	139389	9980	9.39712	11.3592	0.0738149	139953	135405	9146.01	8.89969	10.7529	0.0546935	103699	100353	6779.55	6.62204	7.89027	0.0556711	105552	102002	7106.32	6.74272	8.03562	0.0754773	143105	138072	9892.28	9.10035	10.9907	0.0583218	110578	106701	7663.21	7.05471	8.43342	0.0583832	110694	106821	7660.73	7.06121	8.44238	0.0246831	0.236414	0	0.049977	517252	519727	302.663	172	6	347	331	102	3.43361	4.32432	0.0296267	0.278417	0	0.0587244	620850	623782	348.812	172	728	352	350	118	4.18347	5.33719	0.0301752	0.263318	0	0.0607712	632344	635212	560.65	172	728	345	337	117	4.06727	5.17187	0.0300837	0.264426	0	0.0609575	630426	633418	372.971	172	728	352	342	117	3.90422	4.96706	0.0300729	0.265249	0	0.0595292	630200	633038	510.011	172	728	355	349	113	4.05294	5.18117	0.0290161	0.260338	0	0.0588816	608053	610973	336.151	172	728	347	339	114	3.75967	4.85167	0.0293782	0.260033	0	0.0590053	615642	618397	453.086	172	728	345	341	111	3.99907	5.21504	0.0299955	0.260715	0	0.0602662	628578	631571	169.647	172	728	347	338	119	3.91496	4.96874	0.0275695	0.25462	0	0.0559335	577740	580601	159.568	172	728	341	336	109	3.72477	4.72464	0.02887	0.244963	0	0.0569706	604992	607971	160.243	172	728	369	362	113	4.0238	5.26197	0.030597	0.272789	0	0.0617891	641183	644199	350.949	172	728	347	335	121	4.14915	5.15586	0.0549714	93254.5	90349	3732.91	1.19919	0.582439	0.320068	0.0549714	478	0.116744	40	221604	82257.7	299.027	28.6088	115.136	140.093	0.120151	0.0930744	20	2.9186	0.14593
8	0	0.078567	169989	165289	9531.22	11.9321	12.3907	0.0579868	125461	122000	7072.03	9.05189	9.30044	0.0809423	175128	170101	10082.3	12.5741	13.0716	0.0784109	169651	165150	9236.54	11.9143	12.3836	0.0567659	122820	119562	6736.95	8.66294	8.89408	0.0576865	124811	121368	7038.96	8.80676	9.04225	0.0799541	172990	168022	9967	12.1471	12.618	0.0607206	131376	127606	7610.55	9.25564	9.53022	0.0607983	131544	127771	7616.48	9.26696	9.54273	0.0243833	0.225988	0	0.0475617	583093	585180	324.847	172	728	347	344	95	4.3121	5.15159	0.0301006	0.278417	0	0.0577327	719815	722377	403.742	172	728	352	351	117	5.42266	6.49202	0.0306918	0.262856	0	0.0600952	733953	736405	655.404	172	728	344	339	115	5.29649	6.33566	0.0303933	0.263813	0	0.0602592	726815	729398	401.078	172	728	349	345	115	5.05911	6.0541	0.0304477	0.264981	0	0.0584132	728115	730530	617.235	172	728	354	351	110	5.28921	6.3418	0.0293223	0.259951	0	0.0575854	701202	703662	431.902	172	728	346	345	111	4.91689	5.96459	0.0299154	0.258066	0	0.0579524	715385	717727	512.599	172	728	345	341	110	5.21175	6.39067	0.0303788	0.256925	0	0.0591544	726467	729047	202.261	172	728	347	346	119	5.04225	6.02738	0.0279175	0.254435	0	0.0549124	667609	670143	191.126	172	728	341	340	107	4.83855	5.76009	0.0290568	0.236705	0	0.0551605	694854	697437	190.017	172	728	369	365	109	5.12615	6.35014	0.0304966	0.269173	0	0.060314	729284	731809	420.097	172	728	344	338	116	5.3228	6.22091	0.0423704	82023.4	79913.6	2899.35	0.975753	0.611832	0.323104	0.0423704	478	0.10314	40	195552	82141.7	364.036	31.1842	150.426	163.863	0.126287	0.0947423	20	2.9089	0.145445
9	0	0.0688291	76428	71734.4	9882.67	7.17491	0.744436	0.0507143	56313.3	52860.7	7293.4	5.38519	0.553274	0.0708638	78687.3	73701.3	10461.2	7.56363	0.785319	0.0687486	76338.6	71521.8	9591.88	7.17087	0.744878	0.0496682	55151.6	51875	6947.43	5.15256	0.529072	0.0504339	56001.9	53025.9	7252.22	5.2309	0.537067	0.0699978	77725.7	73439.2	10322.5	7.29498	0.756982	0.0530374	58892.8	55170.9	7835.85	5.50995	0.567167	0.0531059	58968.9	55246.7	7836.15	5.51746	0.568011	0.0230949	0.211281	0	0.0447288	283440	283229	267.834	172	728	347	344	89	2.767	0.262487	0.0284257	0.277903	0	0.0548843	348864	348576	362.829	172	728	348	347	112	3.5588	0.337474	0.0296901	0.25508	0	0.0576181	364382	363901	604.437	172	728	344	339	108	3.48001	0.330156	0.0293219	0.262035	0	0.0578871	359864	359559	384.477	172	728	348	344	110	3.30671	0.313567	0.0291527	0.245422	0	0.0557546	357787	357326	579.927	172	728	353	351	105	3.45692	0.328944	0.0282756	0.258229	0	0.0551664	347022	346719	381.527	172	728	346	345	109	3.20354	0.310939	0.0286086	0.252033	0	0.0552216	351110	350775	421.688	172	728	343	339	109	3.41241	0.334811	0.028927	0.244448	0	0.0562032	355018	354879	176.432	172	728	345	344	115	3.30282	0.312452	0.0269182	0.241048	0	0.0525878	330363	330242	154.798	172	728	341	340	104	3.16118	0.298327	0.0278802	0.232526	0	0.052578	342170	342043	161.209	172	728	368	364	104	3.32433	0.33136	0.0294834	0.261002	0	0.0581735	361845	361546	377.636	172	728	343	337	113	3.44077	0.316626	0.00832228	8268.33	7887.49	930.778	0.16554	0.535399	0.309778	0.00832228	478	0.136313	40	257972	82226.9	108.195	17.9048	92.5807	9.26335	0.0816559	0.075	20	2.93019	0.146509
