year	fire	meanGCover0	meanGB0	pgrest0	grazedGBM0	PTranspirationL10	PTranspirationL20	meanGCover1	meanGB1	pgrest1	grazedGBM1	PTranspirationL11	PTranspirationL21	meanGCover2	meanGB2	pgrest2	grazedGBM2	PTranspirationL12	PTranspirationL22	meanGCover3	meanGB3	pgrest3	grazedGBM3	PTranspirationL13	PTranspirationL23	meanGCover4	meanGB4	pgrest4	grazedGBM4	PTranspirationL14	PTranspirationL24	meanGCover5	meanGB5	pgrest5	grazedGBM5	PTranspirationL15	PTranspirationL25	meanGCover6	meanGB6	pgrest6	grazedGBM6	PTranspirationL16	PTranspirationL26	meanGCover7	meanGB7	pgrest7	grazedGBM7	PTranspirationL17	PTranspirationL27	meanGCover8	meanGB8	pgrest8	grazedGBM8	PTranspirationL18	PTranspirationL28	meanSCover0	MaxSCover0	MinSCover0	SDSCover0	meanSB0	srest0	grazedSBM0	shrubCells0	estCells0	sc010	sc10	sc100	STranspirationL10	STranspirationL20	meanSCover1	MaxSCover1	MinSCover1	SDSCover1	meanSB1	srest1	grazedSBM1	shrubCells1	estCells1	sc011	sc11	sc101	STranspirationL11	STranspirationL21	meanSCover2	MaxSCover2	MinSCover2	SDSCover2	meanSB2	srest2	grazedSBM2	shrubCells2	estCells2	sc012	sc12	sc102	STranspirationL12	STranspirationL22	meanSCover3	MaxSCover3	MinSCover3	SDSCover3	meanSB3	srest3	grazedSBM3	shrubCells3	estCells3	sc013	sc13	sc103	STranspirationL13	STranspirationL23	meanSCover4	MaxSCover4	MinSCover4	SDSCover4	meanSB4	srest4	grazedSBM4	shrubCells4	estCells4	sc014	sc14	sc104	STranspirationL14	STranspirationL24	meanSCover5	MaxSCover5	MinSCover5	SDSCover5	meanSB5	srest5	grazedSBM5	shrubCells5	estCells5	sc015	sc15	sc105	STranspirationL15	STranspirationL25	meanSCover6	MaxSCover6	MinSCover6	SDSCover6	meanSB6	srest6	grazedSBM6	shrubCells6	estCells6	sc016	sc16	sc106	STranspirationL16	STranspirationL26	meanSCover7	MaxSCover7	MinSCover7	SDSCover7	meanSB7	srest7	grazedSBM7	shrubCells7	estCells7	sc017	sc17	sc107	STranspirationL17	STranspirationL27	meanSCover8	MaxSCover8	MinSCover8	SDSCover8	meanSB8	srest8	grazedSBM8	shrubCells8	estCells8	sc018	sc18	sc108	STranspirationL18	STranspirationL28	meanSCover9	MaxSCover9	MinSCover9	SDSCover9	meanSB9	srest9	grazedSBM9	shrubCells9	estCells9	sc019	sc19	sc109	STranspirationL19	STranspirationL29	meanSCover10	MaxSCover10	MinSCover10	SDSCover10	meanSB10	srest10	grazedSBM10	shrubCells10	estCells10	sc0110	sc110	sc1010	STranspirationL110	STranspirationL210	meanACover0	meanAB0	agrest0	grazedABM0	ATranspirationL10	meanGtotalcover	meanStotalcover	meanAtotalcover	scsum01	meanRCover	effSR	meanRB	BMGrazed	AnnualRain	Annualevaporation	AnnualtranspirationL1	AnnualtranspirationL2	ML1	ML2	Richness	ShannonDiv	Evenness
0	0	0.041667	80669	62132	23566.1	6.675	9.95446	0.0383644	74275	57456.2	21429.8	6.45381	9.52855	0.0421405	81585.8	62325.6	24381.2	6.88673	10.2838	0.0416691	80673.1	62608.8	23060.7	6.67502	9.95433	0.0380179	73604.3	57383.6	20758.8	6.2655	9.24019	0.0380266	73621.1	56967.3	21223.5	6.26559	9.24038	0.0416602	80655.8	61656.8	24058.5	6.67495	9.95441	0.0389678	75443.2	57870.5	22290.6	6.37394	9.42886	0.0389947	75495.4	57914	22300.9	6.37417	9.42994	0.0314125	0.284958	0	0.0704424	672176	671301	1098.6	178	0	177	177	132	5.13146	2.80003	0.0321771	0.298773	0	0.0719605	688537	687604	1171	178	0	178	178	138	5.4226	2.95945	0.0334351	0.288782	0	0.0744795	715457	714054	1758.02	178	0	175	175	140	5.51919	3.02245	0.0346688	0.292317	0	0.0767569	741856	740860	1249.03	178	0	178	178	140	5.37105	2.93996	0.0317597	0.289398	0	0.0700659	679605	678176	1790.74	178	0	178	178	140	5.16388	2.82361	0.0324116	0.294648	0	0.0725517	693555	692609	1187.39	178	0	176	176	138	5.10145	2.79182	0.0348727	0.294949	0	0.0770329	746218	744962	1575.33	178	0	178	178	140	5.62546	3.0746	0.0320291	0.291425	0	0.0710487	685370	684939	543.874	178	0	178	178	140	5.0177	2.74576	0.0329001	0.288897	0	0.0731297	704008	703561	563.131	178	0	177	177	137	5.37833	2.93471	0.0336257	0.29282	0	0.0744098	719535	719081	573.034	178	0	176	176	144	5.50957	3.01465	0.031571	0.290305	0	0.0704228	675568	674633	1173.46	178	0	177	177	138	5.11325	2.79432	0.257374	445836	348706	113159	9.63497	0.359508	0.360864	0.257374	178	0	10	0	328913	308.755	89.7446	128.268	120.511	0.131854	0.108212	20	2.99457	0.149729
1	0	0.0444145	86710.9	69583.4	25663.1	7.50917	10.6306	0.0382083	74594.5	60115.5	21991.1	6.72366	9.3795	0.0449162	87690.3	69889.9	26519.4	7.75078	10.9844	0.0447975	87458.7	70625.3	25330.6	7.58355	10.7433	0.0379085	74009.1	60039.5	21340.8	6.53491	9.10885	0.0375941	73395.4	59170.5	21634.1	6.47326	9.0149	0.0439922	85886.5	68482.4	25972.4	7.43475	10.5175	0.0389695	76080.6	60880.3	22927.4	6.6714	9.32573	0.0389891	76118.9	60905.1	22945.8	6.6766	9.33309	0.03009	0.276031	0	0.0675726	649287	859718	1285.58	178	0	177	177	126	5.10165	2.71442	0.0307945	0.291749	0	0.068958	664490	874321	1202.47	178	0	178	178	133	5.44526	2.90244	0.0324551	0.281693	0	0.0722753	700321	926648	1997.63	178	0	175	175	139	5.4359	2.89941	0.0335444	0.284295	0	0.0744457	723827	953703	1463.99	178	0	177	177	136	5.41511	2.89662	0.0304322	0.27825	0	0.0671469	656671	864657	2005.95	178	0	178	178	135	5.15894	2.75307	0.0307508	0.290938	0	0.0690316	663546	878811	1185.57	178	0	175	175	134	5.04518	2.69371	0.0333047	0.282789	0	0.0735117	718655	950906	1642.43	178	0	178	178	138	5.6548	3.01486	0.0306513	0.281084	0	0.0679224	661398	872074	589.235	178	0	178	178	138	5.01054	2.68312	0.0312468	0.278478	0	0.0696334	674249	889502	618.342	178	0	176	176	135	5.34283	2.84523	0.0320821	0.281722	0	0.071004	692272	917047	632.601	178	0	176	176	139	5.47098	2.92393	0.0303664	0.2825	0	0.0677258	655252	866291	1175.17	178	0	177	177	135	5.1254	2.73076	0.243867	425988	345975	100729	10.0529	0.36979	0.345718	0.243867	178	0	10	0	328853	312.707	80.8402	131.619	120.126	0.129706	0.106971	20	2.98786	0.149393
2	0	0.0351843	45529.9	29604.9	26383.5	3.87321	1.50799	0.0297729	38527.3	25221.5	22260.6	3.35913	1.27611	0.0354141	45827.2	29499.8	26965.8	3.99058	1.54695	0.0357132	46214.2	30320.5	26387.3	3.93255	1.54214	0.029691	38421.3	25407.1	21842.9	3.27141	1.2488	0.029256	37858.4	24817.7	21842.4	3.22291	1.22111	0.0345988	44772.1	28843.4	26341	3.81028	1.47248	0.0302547	39150.7	25367.4	22972.5	3.33436	1.26361	0.0302687	39168.9	25326.3	23052.6	3.33593	1.26339	0.0387268	0.270721	0	0.0602171	553892	553868	3357.7	178	722	850	655	123	5.71626	2.98844	0.0394667	0.277916	0	0.0614633	564474	679404	3350.43	178	722	852	671	126	6.04524	3.13744	0.0424453	0.27944	0	0.0642743	607075	731452	5579.97	178	722	850	711	132	6.16598	3.23251	0.0437115	0.279127	0	0.0663884	625185	752374	3770.12	178	722	852	741	132	6.07463	3.17142	0.0392834	0.269221	0	0.0597059	561852	676322	5116.4	178	722	854	675	131	5.74316	2.98873	0.0396587	0.284915	0	0.0613787	567220	685417	3395.15	178	722	849	694	132	5.60934	2.95155	0.0425781	0.269442	0	0.0645742	608975	733697	4408.13	178	722	851	724	135	6.32724	3.31406	0.0394081	0.273947	0	0.0604539	563636	681167	1614.78	178	722	853	673	130	5.55484	2.89553	0.0403269	0.263724	0	0.0619983	576778	697690	1702.75	178	722	852	700	132	5.90906	3.08607	0.0417122	0.269117	0	0.063311	596590	722558	1697.95	178	722	852	693	136	6.10039	3.20124	0.0395187	0.275004	0	0.0607194	565218	682466	3422.19	178	722	852	682	131	5.75807	3.01808	0.133028	154023	101159	73246.3	1.88278	0.290154	0.446836	0.133028	854	0.0738958	10	136684	328711	152.803	48.3465	99.0194	46.4056	0.100045	0.0758014	20	2.91786	0.145893
3	0	0.0212142	23696.5	10327.4	20607.6	1.77074	0.172979	0.0179402	20039.4	8884.78	17278.5	1.52777	0.143992	0.0211629	23639.2	10206	20675.8	1.80949	0.17635	0.0217386	24282.3	10686.3	20976.9	1.81259	0.178451	0.0180507	20162.9	9038.35	17260.5	1.5008	0.141874	0.0176351	19698.7	8747.44	16972.8	1.46692	0.137712	0.0206714	23090.2	9983.36	20185.7	1.72613	0.16751	0.0180584	20171.5	8834.37	17530.1	1.50485	0.14185	0.0180294	20139.1	8729.34	17617.5	1.50284	0.140869	0.0370316	0.264964	0	0.056925	457190	452349	6017.12	178	15	849	646	118	4.359	0.472015	0.0456681	0.264606	0	0.055479	563815	557245	9068.84	178	722	851	838	123	5.66719	0.752032	0.0496675	0.266451	0	0.0579898	613191	603118	15142.2	178	722	849	847	127	5.87015	0.788465	0.0507853	0.260163	0	0.059546	626992	620505	10390.3	178	722	850	846	127	5.7841	0.776566	0.0455563	0.261216	0	0.0535127	562435	552223	13643.3	178	722	854	845	123	5.41678	0.720548	0.0460278	0.263931	0	0.0548904	568256	561606	9249.9	178	722	848	843	125	5.27349	0.707945	0.0493712	0.26088	0	0.0582397	609534	600904	11792.4	178	722	849	841	132	5.88419	0.787449	0.0459741	0.270244	0	0.0546669	567594	564865	4418.93	178	722	853	841	128	5.23423	0.698039	0.0466942	0.251264	0	0.0555143	576484	573625	4599.98	178	722	850	845	123	5.58853	0.746744	0.0485878	0.251516	0	0.0568677	599862	596583	4708.5	178	722	851	847	132	5.79186	0.774239	0.045995	0.268403	0	0.0545832	567852	561183	9219.67	178	722	851	843	125	5.46927	0.730891	0.0792575	79212.5	30728.9	61232.8	0.869748	0.174501	0.511359	0.0792575	854	0.0858437	10	159245	328589	109.801	42.3025	75.8307	9.35658	0.0886973	0.075017	20	2.75757	0.137879
4	0	0.00918761	11707.3	4797.29	9611.96	0.864415	0.264334	0.00771872	9835.62	4148.47	7973.52	0.742619	0.215708	0.0091006	11596.5	4693.73	9587.35	0.877633	0.269176	0.00950583	12112.8	5007	9891.94	0.894579	0.275338	0.00783693	9986.24	4264.35	8034.08	0.735875	0.213671	0.00758365	9663.5	4089.22	7820.99	0.712359	0.205854	0.00887706	11311.6	4595.28	9337.27	0.836029	0.254941	0.00770602	9819.43	4079.86	8029	0.724815	0.211787	0.00760444	9689.99	3996.99	7953.11	0.715534	0.206132	0.035342	0.256218	0	0.0538906	497752	491541	7717.37	178	0	847	645	110	4.62653	1.59588	0.044148	0.245973	0	0.0522815	621774	613038	11753.6	178	6	851	843	121	6.12614	2.49353	0.0483966	0.26294	0	0.0544135	681611	668169	19571.1	178	15	848	846	120	6.38794	2.63205	0.049893	0.253412	0	0.0562508	702686	693957	13517	178	15	849	845	125	6.30161	2.60955	0.0436135	0.242994	0	0.0503699	614247	600950	17421.4	178	6	853	845	116	5.82826	2.36671	0.0445121	0.250758	0	0.0518566	626902	617949	12085.1	178	6	848	845	123	5.70159	2.34741	0.0474379	0.247888	0	0.0550454	668109	656678	15264.4	178	6	847	842	126	6.35891	2.60741	0.0447695	0.260887	0	0.0518291	630528	626686	5828.13	178	6	853	844	124	5.723	2.33983	0.0452913	0.246311	0	0.0525913	637877	633926	5897.76	178	6	849	847	119	6.06449	2.49791	0.0472936	0.238715	0	0.0538507	666077	661657	6121.78	178	4	851	850	129	6.31328	2.59321	0.0445253	0.256762	0	0.051726	627088	618279	11888.6	178	6	850	848	115	5.92946	2.43062	0.142655	162644	54253.9	123220	2.11234	0.0751209	0.495223	0.142655	854	0.0361979	10	67609.5	328526	147.997	59.887	74.5774	28.6311	0.0971269	0.0760239	20	2.60921	0.13046
5	0	0.00453136	10390	6711.05	4922.67	0.595606	0.418927	0.00370055	8485.04	5568.38	3951.32	0.493945	0.331542	0.00447149	10252.7	6535.62	4954.18	0.60195	0.426147	0.00473426	10855.3	7083.89	5057.37	0.622705	0.438776	0.00377923	8665.44	5754.58	3958.66	0.49253	0.328803	0.00362621	8314.57	5466.09	3864.11	0.472583	0.315841	0.00434747	9968.37	6367.46	4806.34	0.570962	0.401953	0.00367421	8424.63	5451.09	4009.08	0.47995	0.324725	0.0035876	8226.04	5343.28	3891.6	0.467021	0.313933	0.0352805	0.23789	0	0.0508239	894102	889794	5644.46	178	0	846	711	105	6.50629	7.83231	0.0455024	0.242736	0	0.0501638	1.15315e+06	1.28962e+06	7748.1	178	6	848	846	118	9.02924	12.0064	0.0501358	0.259757	0	0.0526311	1.27058e+06	1.41959e+06	12794	178	15	847	845	118	9.53333	12.8598	0.0519853	0.251143	0	0.0545197	1.31745e+06	1.47402e+06	8757.56	178	15	848	846	123	9.50513	12.835	0.0445879	0.241396	0	0.0481267	1.12998e+06	1.2635e+06	11446.7	178	6	851	850	112	8.48217	11.2544	0.0462203	0.242587	0	0.049963	1.17135e+06	1.31281e+06	7835.27	178	6	847	847	121	8.42163	11.2742	0.0488382	0.242807	0	0.0526153	1.23769e+06	1.38306e+06	9990.15	178	6	844	844	123	9.33015	12.5005	0.0466282	0.256152	0	0.0499576	1.18169e+06	1.32713e+06	3810.56	178	6	851	850	122	8.52025	11.3717	0.0473496	0.240656	0	0.0508945	1.19997e+06	1.34823e+06	3924.19	178	6	848	847	118	9.00842	12.062	0.0489018	0.235053	0	0.0511526	1.2393e+06	1.38867e+06	4039.55	178	4	848	848	126	9.41148	12.6163	0.0453997	0.255476	0	0.049354	1.15055e+06	1.2902e+06	7745.65	178	6	845	845	110	8.74439	11.6805	0.250422	513755	337523	205543	6.82771	0.0364524	0.51083	0.250422	854	0.0108732	10	20361.4	328694	395.444	85.3459	108.117	131.594	0.127282	0.107423	20	2.55127	0.127563
6	0	0.00367797	8169.95	5240.25	4193.98	0.487101	0.442323	0.00282997	6286.28	4104.61	3192.66	0.380092	0.317028	0.00361589	8032.05	5076.79	4209.95	0.491356	0.451272	0.00388611	8632.31	5608.06	4339.07	0.515609	0.470389	0.00290461	6452.07	4268.07	3210.12	0.380528	0.314447	0.00275911	6128.87	4004.22	3115.29	0.361497	0.298914	0.00348561	7742.66	4909.18	4048.42	0.462075	0.419701	0.00280605	6233.13	4008.36	3235.39	0.368846	0.312707	0.00273942	6085.14	3926.78	3145.25	0.358877	0.300716	0.0352893	0.227028	0	0.0479111	866403	900472	5536.81	178	1	846	758	99	6.79137	7.88525	0.0531052	0.242736	0	0.0463081	1.30381e+06	1.40197e+06	9398.55	178	644	846	846	115	10.8595	14.4458	0.0588476	0.259757	0	0.0488107	1.44479e+06	1.55149e+06	15935.5	178	647	846	846	117	11.5322	15.4601	0.0611195	0.250602	0	0.0506447	1.50057e+06	1.61624e+06	10877.8	178	647	848	848	123	11.4838	15.4457	0.0522462	0.240881	0	0.0442065	1.28272e+06	1.37829e+06	14226.1	178	644	851	851	110	10.2165	13.5777	0.0542178	0.239397	0	0.0459255	1.33113e+06	1.43352e+06	9633.07	178	644	846	846	116	10.2108	13.6714	0.0573957	0.23956	0	0.0484355	1.40915e+06	1.51401e+06	12588.6	178	644	844	844	120	11.2334	15.0401	0.0543674	0.247101	0	0.045673	1.3348e+06	1.44142e+06	4633.2	178	644	849	849	118	10.2951	13.7401	0.0555188	0.237619	0	0.0468323	1.36307e+06	1.4723e+06	4717.01	178	644	847	847	114	10.9239	14.6304	0.0569322	0.228882	0	0.0463128	1.39777e+06	1.50631e+06	4922.26	178	641	846	846	124	11.2766	15.1523	0.0533024	0.254004	0	0.0455614	1.30865e+06	1.41162e+06	9328.44	178	644	845	845	110	10.4502	13.9684	0.224977	447141	290195	194333	5.33192	0.0287047	0.592342	0.224977	854	0.00630745	10	11518.5	328821	378.054	73.4493	124.412	156.291	0.125968	0.0992559	20	2.51224	0.125612
7	0	0.0025591	3955.33	1405.25	3884.05	0.2825	0.25326	0.00190208	2939.85	1077	2893.39	0.210834	0.157043	0.00249543	3856.93	1338.82	3823.03	0.282886	0.258464	0.00273206	4222.65	1530.7	4107.31	0.30329	0.275119	0.00197016	3045.06	1143.89	2961.33	0.212781	0.156258	0.00185599	2868.61	1054.42	2819.21	0.199497	0.145776	0.00240773	3721.37	1296.74	3685.91	0.26429	0.235343	0.00187243	2894.01	1032.59	2879.35	0.203546	0.156605	0.00183	2828.44	1004.66	2821.97	0.198101	0.147873	0.0356918	0.215785	0	0.0448504	609719	623439	8874.83	178	308	846	836	96	5.6185	3.15501	0.0570777	0.237697	0	0.0423187	975050	1.01973e+06	15495.8	178	644	845	845	107	9.32456	6.04649	0.0636162	0.253181	0	0.0453019	1.08675e+06	1.13008e+06	26691.6	178	647	844	844	114	9.92855	6.49001	0.0661145	0.247942	0	0.0469164	1.12943e+06	1.1826e+06	18369.3	178	647	846	846	119	9.91662	6.49311	0.0560887	0.232721	0	0.0401807	958156	997071	23188.2	178	644	849	849	103	8.80168	5.69978	0.0582376	0.227157	0	0.0415415	994865	1.04074e+06	15937.2	178	644	844	844	107	8.79324	5.74658	0.0612461	0.235723	0	0.0438996	1.04626e+06	1.09025e+06	20522.7	178	644	839	839	111	9.68883	6.33168	0.0588034	0.237913	0	0.0415722	1.00453e+06	1.05848e+06	7773.09	178	644	849	849	110	8.83322	5.75162	0.0600216	0.229283	0	0.0426134	1.02534e+06	1.0808e+06	7918.31	178	644	846	846	112	9.41235	6.14998	0.0608219	0.225936	0	0.0422319	1.03901e+06	1.09394e+06	8067.56	178	642	845	845	118	9.6432	6.32927	0.0577332	0.251922	0	0.041782	986250	1.03375e+06	15944	178	644	845	845	105	9.02213	5.87829	0.124825	172620	73684.1	129899	2.04479	0.019625	0.635453	0.124825	854	0.0230915	10	40397.3	328557	213.909	56.0851	103.186	65.8563	0.105597	0.081019	20	2.44388	0.122194
8	0	0.00103881	1537.24	582.119	1321.18	0.11853	0.113351	0.000738064	1092.2	448.287	918.843	0.0821464	0.0641166	0.00100184	1482.55	546.691	1288.76	0.118113	0.116439	0.00113051	1672.96	639.516	1430.38	0.129349	0.123955	0.000778516	1152.06	483.418	957.531	0.0840881	0.0637536	0.000719333	1064.48	439.987	893.525	0.077604	0.0590647	0.000961195	1422.39	532.569	1229.71	0.10954	0.104899	0.000717687	1062.05	424.239	904.601	0.0787895	0.0645144	0.000693172	1025.77	413.611	869.983	0.0754759	0.0593771	0.0354813	0.211597	0	0.0420066	580328	589649	8670.05	178	307	846	840	92	5.36312	2.58683	0.0592253	0.223376	0	0.0387706	968681	999255	16517.4	178	644	844	844	102	9.45257	4.96498	0.0665914	0.240736	0	0.0420718	1.08916e+06	1.11705e+06	27453.9	178	647	843	843	110	10.0812	5.322	0.0697277	0.240551	0	0.0436302	1.14046e+06	1.17828e+06	19193	178	647	846	846	116	10.1222	5.34724	0.057903	0.219558	0	0.0366549	947055	971525	24151.3	178	644	848	848	97	8.87129	4.66184	0.0605022	0.223022	0	0.038003	989567	1.02091e+06	16557.8	178	644	843	843	98	8.89934	4.71065	0.0635013	0.218816	0	0.0403867	1.03862e+06	1.06783e+06	21296.8	178	644	837	837	107	9.72804	5.15346	0.0613408	0.225808	0	0.0382411	1.00328e+06	1.04291e+06	8159.68	178	644	847	847	101	9.04257	4.76274	0.0628798	0.227225	0	0.0390848	1.02845e+06	1.06977e+06	8331.75	178	644	846	846	104	9.63647	5.08779	0.0626953	0.208342	0	0.0387156	1.02544e+06	1.06579e+06	8283.39	178	642	844	844	110	9.75365	5.16671	0.0603257	0.243253	0	0.0384444	986680	1.02015e+06	16346.6	178	644	845	845	100	9.20681	4.84951	0.1559	206419	83265.1	143836	2.64115	0.00777913	0.660174	0.1559	854	0.0199148	10	34769.5	328613	197.931	48.7203	103.672	53.3835	0.119597	0.0801732	15	2.41407	0.160938
9	0	0.000508644	1807.28	1192.13	870.664	0.0583119	0.0803631	0.000361813	1285.57	894.106	594.074	0.0390437	0.0503211	0.000485211	1724.02	1118.04	854.612	0.0580493	0.0811782	0.000559827	1989.14	1324.93	935.456	0.064131	0.0884604	0.000386841	1374.5	967.262	617.242	0.0402777	0.0512582	0.000352333	1251.88	875.198	575.805	0.0368303	0.0470794	0.00046614	1656.25	1081.03	817.404	0.0536672	0.0742398	0.00034724	1233.79	844.256	588.291	0.0373412	0.0489907	0.000336717	1196.4	825.334	565.711	0.0354453	0.0456393	0.0368098	0.211373	0	0.0408369	1.44557e+06	1.47256e+06	7783.24	178	307	846	840	90	5.29528	14.3675	0.0629216	0.221874	0	0.0373086	2.47102e+06	2.54685e+06	14003.6	178	644	843	843	100	9.70978	26.7501	0.0702771	0.237546	0	0.0403343	2.75988e+06	2.84027e+06	23416.3	178	647	842	842	108	10.4273	28.7588	0.0734351	0.239629	0	0.0418939	2.8839e+06	2.97377e+06	16257.4	178	647	840	840	113	10.543	29.0996	0.0611189	0.21397	0	0.0349716	2.40023e+06	2.47026e+06	20571.1	178	644	847	847	97	9.05968	24.9716	0.064405	0.220385	0	0.0364415	2.52928e+06	2.60675e+06	14191.4	178	644	843	843	97	9.15537	25.2496	0.0674822	0.213276	0	0.0387745	2.65012e+06	2.72748e+06	17846.7	178	644	837	837	107	9.99475	27.5531	0.0656918	0.225365	0	0.0368671	2.57981e+06	2.66622e+06	7100.07	178	644	847	847	97	9.34153	25.7658	0.0672071	0.226614	0	0.0375374	2.63932e+06	2.72835e+06	7187.44	178	644	845	845	103	9.99281	27.5613	0.0672435	0.208342	0	0.0372527	2.64075e+06	2.72834e+06	7283.37	178	642	844	844	109	9.97465	27.5295	0.0640665	0.243253	0	0.0368919	2.51598e+06	2.59636e+06	14232.9	178	644	844	844	98	9.51226	26.2026	0.166967	530808	386392	172352	3.5716	0.00380476	0.700659	0.166967	854	0.00472271	10	8242.78	328645	701.57	38.8535	107.001	284.377	0.128945	0.117812	15	2.40873	0.160582
