ParameterName	ParameterValue	Cover
Transcoef	0.35	0.00334169684210526
Transcoef	0.35	0.00293530263157895
Transcoef	0.35	0.00289088736842105
Transcoef	0.35	0.00296026473684211
Transcoef	0.35	0.00302574052631579
Transcoef	0.35	0.00361792473684211
Transcoef	0.35	0.00306932473684211
Transcoef	0.35	0.00302878578947368
Transcoef	0.35	0.00301393052631579
Transcoef	0.35	0.00281611
Transcoef	0.35	0.00409950315789474
Transcoef	0.35	0.00308499578947368
Transcoef	0.35	0.00313184315789474
Transcoef	0.35	0.00397162315789474
Transcoef	0.35	0.00318925894736842
Transcoef	0.35	0.00334057157894737
Transcoef	0.35	0.00313258631578947
Transcoef	0.35	0.00379930736842105
Transcoef	0.35	0.00336209578947368
Transcoef	0.35	0.00360368947368421
Transcoef	0.35	0.00327120315789474
Transcoef	0.35	0.00370277
Transcoef	0.35	0.00303088368421053
Transcoef	0.35	0.00396136157894737
Transcoef	0.35	0.00384696421052632
Transcoef	0.35	0.00277911
Transcoef	0.35	0.00317144421052632
Transcoef	0.35	0.00375346157894737
Transcoef	0.35	0.00273562526315789
Transcoef	0.35	0.00338065421052632
Transcoef	0.360344827586207	0.00354537631578947
Transcoef	0.360344827586207	0.00307864789473684
Transcoef	0.360344827586207	0.00301473105263158
Transcoef	0.360344827586207	0.00313521578947368
Transcoef	0.360344827586207	0.00319966526315789
Transcoef	0.360344827586207	0.00383926157894737
Transcoef	0.360344827586207	0.00327114421052632
Transcoef	0.360344827586207	0.00321944157894737
Transcoef	0.360344827586207	0.00315508736842105
Transcoef	0.360344827586207	0.00296118684210526
Transcoef	0.360344827586207	0.00430456368421053
Transcoef	0.360344827586207	0.00323206210526316
Transcoef	0.360344827586207	0.00332172894736842
Transcoef	0.360344827586207	0.00413805052631579
Transcoef	0.360344827586207	0.00333963947368421
Transcoef	0.360344827586207	0.00352783894736842
Transcoef	0.360344827586207	0.00326988947368421
Transcoef	0.360344827586207	0.00402783315789474
Transcoef	0.360344827586207	0.00351351842105263
Transcoef	0.360344827586207	0.00381889894736842
Transcoef	0.360344827586207	0.00338611578947368
Transcoef	0.360344827586207	0.00385227105263158
Transcoef	0.360344827586207	0.00318286947368421
Transcoef	0.360344827586207	0.00423367
Transcoef	0.360344827586207	0.00404176473684211
Transcoef	0.360344827586207	0.00292190631578947
Transcoef	0.360344827586207	0.00338310315789474
Transcoef	0.360344827586207	0.00391753947368421
Transcoef	0.360344827586207	0.00287961368421053
Transcoef	0.360344827586207	0.00356491947368421
Transcoef	0.370689655172414	0.00375002368421053
Transcoef	0.370689655172414	0.00324249631578947
Transcoef	0.370689655172414	0.00317740210526316
Transcoef	0.370689655172414	0.00324158947368421
Transcoef	0.370689655172414	0.00332361368421053
Transcoef	0.370689655172414	0.00409675210526316
